CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
224,116,31,True,227,2,97,and_affine_nmcts,6,9,truth_n6_17,3,135.335,,24,0.07262802124023438,BF3C4C06434308BC
257,128,34,True,268,2,124,and_affine_nmcts,6,9,truth_n6_18,3,149.54000000000002,,26,0.16089820861816406,6DADD6C795A76D79
226,112,33,True,234,2,108,and_affine_nmcts,6,9,truth_n6_19,3,131.63,,21,0.08908200263977051,956269F0E5D7B875
251,128,30,True,264,2,124,and_affine_nmcts,6,9,truth_n6_20,3,149.24,,27,0.07987403869628906,5CABCC97663F1C97
295,152,35,True,295,2,129,and_affine_nmcts,6,9,truth_n6_21,3,175.51500000000001,,30,0.10814404487609863,FF50BDE4382567B8
291,148,34,True,295,2,131,and_affine_nmcts,6,9,truth_n6_22,4,173.375,,28,0.10190796852111816,2369B584FF5E9FF0
250,128,24,True,250,2,104,and_affine_nmcts,6,9,truth_n6_23,3,148.79,,24,0.06190681457519531,7E570DDF827050A8
281,144,37,True,285,2,127,and_affine_nmcts,6,9,truth_n6_24,3,166.78500000000003,,28,0.11559009552001953,C17AF08A1745D6D8
236,128,31,True,240,1,102,and_affine_nmcts,6,8,truth_n6_25,2,146.06,,25,0.0649409294128418,DC713D960C0FD195
256,128,32,True,262,2,118,and_affine_nmcts,6,9,truth_n6_26,3,149.35000000000002,,24,0.07497787475585938,27209BDF1C11F735
256,128,36,True,264,2,120,and_affine_nmcts,6,9,truth_n6_27,3,149.4,,23,0.10701489448547363,28F49481A0A04DC4
222,108,29,True,229,2,107,and_affine_nmcts,6,9,truth_n6_28,3,127.38499999999999,,24,0.06887507438659668,AE340454CAC5B68C
231,112,25,True,241,2,113,and_affine_nmcts,6,9,truth_n6_29,3,131.98499999999999,,23,0.08164000511169434,98AE43346C12ACE8
241,120,28,True,245,2,109,and_affine_nmcts,6,9,truth_n6_30,3,140.405,,30,0.22824716567993164,62801C4510435A10
258,128,29,True,258,1,110,and_affine_nmcts,6,8,truth_n6_31,2,147.29,,29,0.05623602867126465,988C24C961B1CD22
3,0,3,True,3,0,3,and_pareto_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.01820516586303711,96
3,0,3,True,3,0,3,and_resource_nmcts,3,4,parity_n3,0,0.19499999999999998,,3,0.0028171539306640625,96
12,4,3,True,12,0,8,and_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.003759145736694336,E8
4,0,4,True,4,0,4,and_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.00474095344543457,6996
12,4,3,True,12,0,8,and_pareto_resource_nmcts,3,4,majority_n3,0,4.74,,2,0.02874302864074707,E8
4,0,4,True,4,0,4,and_pareto_resource_nmcts,4,5,parity_n4,0,0.26,,4,0.037908077239990234,6996
12,4,3,True,12,0,8,and_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.0037250518798828125,E8
12,4,3,True,12,0,8,and_pareto_resource_nmcts,3,4,threshold2_n3,0,4.74,,2,0.02935504913330078,E8
49,24,5,True,58,1,32,and_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.08600592613220215,E880
49,24,5,True,58,1,32,and_pareto_resource_nmcts,4,6,majority_n4,2,31.150000000000002,,8,1.500561237335205,E880
5,0,5,True,5,0,5,and_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.010665178298950195,96696996
49,24,7,True,49,1,23,and_resource_nmcts,4,6,threshold2_n4,2,30.925,,7,0.24566197395324707,FEE8
5,0,5,True,5,0,5,and_pareto_resource_nmcts,5,6,parity_n5,0,0.325,,5,0.1269371509552002,96696996
6,0,6,True,6,0,6,and_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.03737688064575195,6996966996696996
70,32,15,True,70,1,34,and_resource_nmcts,5,7,majority_n5,2,40.19,,6,0.2616441249847412,FEE8E880
78,40,15,True,89,1,43,and_resource_nmcts,5,7,threshold2_n5,2,48.885,,6,1.083866834640503,FFFEFEE8
49,24,7,True,49,1,23,and_pareto_resource_nmcts,4,6,threshold2_n4,2,30.925,,7,1.30641508102417,FEE8
6,0,6,True,6,0,6,and_pareto_resource_nmcts,6,7,parity_n6,0,0.38999999999999996,,6,0.518096923828125,6996966996696996
65,32,9,True,71,1,37,and_resource_nmcts,6,8,mux_2_4,1,38.035,,11,0.12028193473815918,FEDCBA9876543210
183,104,15,True,183,2,73,and_resource_nmcts,6,9,majority_n6,3,120.795,,15,0.4944629669189453,FEE8E880E8808000
25,12,3,True,30,1,18,and_resource_nmcts,4,6,adder_carry_w2,2,17.63,,6,0.039087772369384766,EC80
183,104,35,True,196,2,86,and_resource_nmcts,6,9,threshold3_n6,3,121.11999999999999,,16,1.0577070713043213,FFFEFEE8FEE8E880
65,32,9,True,71,1,37,and_pareto_resource_nmcts,6,8,mux_2_4,1,38.035,,11,0.8942160606384277,FEDCBA9876543210
25,12,3,True,30,1,18,and_pareto_resource_nmcts,4,6,adder_carry_w2,2,17.63,,6,0.46277403831481934,EC80
60,32,7,True,60,2,26,and_resource_nmcts,6,9,adder_carry_w3,3,41.559999999999995,,7,0.10787200927734375,FEFCF8F0E0C08000
14,8,2,True,14,0,6,and_resource_nmcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.005155086517333984,6AC0
70,32,15,True,70,1,34,and_pareto_resource_nmcts,5,7,majority_n5,2,40.19,,6,4.504738092422485,FEE8E880
14,8,2,True,14,0,6,and_pareto_resource_nmcts,4,5,mul_w2_bit1,0,8.830000000000002,,2,0.1035470962524414,6AC0
38,20,4,True,38,1,16,and_resource_nmcts,6,8,mul_w3_bit2,2,26.25,,4,0.31184887886047363,1E665AAAB4CCF000
31,16,9,True,33,0,17,and_resource_nmcts,4,5,truth_n4_0,1,19.905,,5,0.06834197044372559,A3B1
38,20,4,True,38,1,16,and_pareto_resource_nmcts,6,8,mul_w3_bit2,2,26.25,,4,0.46065616607666016,1E665AAAB4CCF000
78,40,15,True,89,1,43,and_pareto_resource_nmcts,5,7,threshold2_n5,2,48.885,,6,6.108931064605713,FFFEFEE8
31,16,9,True,33,0,17,and_pareto_resource_nmcts,4,5,truth_n4_0,1,19.905,,5,0.41805124282836914,A3B1
37,16,4,True,39,1,21,and_resource_nmcts,4,6,truth_n4_1,1,20.275000000000002,,7,0.07107996940612793,1C80
55,28,7,True,59,2,31,and_pareto_resource_nmcts,6,9,adder_carry_w3,4,39.394999999999996,,13,2.8651070594787598,FEFCF8F0E0C08000
37,16,4,True,39,1,21,and_pareto_resource_nmcts,4,6,truth_n4_1,1,20.275000000000002,,7,0.7974898815155029,1C80
42,20,12,True,46,1,24,and_resource_nmcts,4,6,truth_n4_2,2,26.61,,6,0.29228782653808594,667
48,24,11,True,55,1,29,and_resource_nmcts,4,6,truth_n4_3,2,31.035,,7,0.07919883728027344,BDD6
39,16,8,True,43,1,25,and_resource_nmcts,4,6,truth_n4_4,1,20.455,,5,0.04193568229675293,4668
42,20,12,True,46,1,24,and_pareto_resource_nmcts,4,6,truth_n4_2,2,26.61,,6,0.9410088062286377,667
39,16,8,True,43,1,25,and_pareto_resource_nmcts,4,6,truth_n4_4,1,20.455,,5,0.6100220680236816,4668
36,16,8,True,38,1,20,and_resource_nmcts,4,6,truth_n4_5,2,22.21,,6,0.1299591064453125,3EB1
48,24,11,True,55,1,29,and_pareto_resource_nmcts,4,6,truth_n4_3,2,31.035,,7,0.8992831707000732,BDD6
31,16,8,True,36,0,20,and_resource_nmcts,4,5,truth_n4_6,1,19.979999999999997,,6,0.06922030448913574,3924
