name,n,method,model_path,score,T,CNOT,depth,peak_ancilla,correct,time_s
large_n8_10,8,and_resource_nmcts,random-prior:6,815.28,712,1256,1268,5,True,35.47
large_n8_10,8,and_resource_nmcts,random-prior:7,815.28,712,1256,1268,5,True,35.42
large_n8_11,8,and_resource_nmcts,,865.38,756,1341,1347,5,True,34.53
large_n8_11,8,and_resource_nmcts,models/action_scorer_v2.pt,865.38,756,1341,1347,5,True,35.57
large_n8_12,8,and_resource_nmcts,,816.4200000000001,712,1270,1286,5,True,22.04
large_n8_12,8,and_resource_nmcts,models/action_scorer_v2.pt,816.4200000000001,712,1270,1286,5,True,21.59
large_n8_12,8,and_resource_nmcts,random-prior:0,816.4200000000001,712,1270,1286,5,True,21.97
large_n8_11,8,and_resource_nmcts,random-prior:1,865.38,756,1341,1347,5,True,33.38
large_n8_11,8,and_resource_nmcts,random-prior:0,865.38,756,1341,1347,5,True,33.52
large_n8_11,8,and_resource_nmcts,random-prior:2,865.38,756,1341,1347,5,True,33.68
large_n8_11,8,and_resource_nmcts,random-prior:4,865.38,756,1341,1347,5,True,32.67
large_n8_11,8,and_resource_nmcts,random-prior:3,865.38,756,1341,1347,5,True,33.17
large_n8_11,8,and_resource_nmcts,random-prior:5,865.38,756,1341,1347,5,True,33.49
large_n8_11,8,and_resource_nmcts,random-prior:7,865.38,756,1341,1347,5,True,32.48
large_n8_11,8,and_resource_nmcts,random-prior:6,865.38,756,1341,1347,5,True,32.62
large_n8_12,8,and_resource_nmcts,random-prior:1,816.4200000000001,712,1270,1286,5,True,21.93
large_n8_12,8,and_resource_nmcts,random-prior:3,816.4200000000001,712,1270,1286,5,True,20.91
large_n8_12,8,and_resource_nmcts,random-prior:2,816.4200000000001,712,1270,1286,5,True,21.12
large_n8_12,8,and_resource_nmcts,random-prior:4,816.4200000000001,712,1270,1286,5,True,20.72
large_n8_12,8,and_resource_nmcts,random-prior:5,816.4200000000001,712,1270,1286,5,True,20.95
large_n8_12,8,and_resource_nmcts,random-prior:7,816.4200000000001,712,1270,1286,5,True,20.93
large_n8_12,8,and_resource_nmcts,random-prior:6,816.4200000000001,712,1270,1286,5,True,21.05
large_n8_13,8,and_resource_nmcts,,863.55,752,1368,1381,5,True,27.58
large_n8_13,8,and_resource_nmcts,models/action_scorer_v2.pt,863.55,752,1368,1381,5,True,27.24
large_n8_13,8,and_resource_nmcts,random-prior:0,863.55,752,1368,1381,5,True,27.64
large_n8_13,8,and_resource_nmcts,random-prior:1,863.55,752,1368,1381,5,True,27.06
large_n8_13,8,and_resource_nmcts,random-prior:2,863.55,752,1368,1381,5,True,27.53
large_n8_13,8,and_resource_nmcts,random-prior:3,863.55,752,1368,1381,5,True,28.2
large_n8_14,8,and_resource_nmcts,models/action_scorer_v2.pt,890.98,776,1414,1426,5,True,22.62
large_n8_14,8,and_resource_nmcts,,890.98,776,1414,1426,5,True,23.05
large_n8_13,8,and_resource_nmcts,random-prior:5,863.55,752,1368,1381,5,True,27.98
large_n8_13,8,and_resource_nmcts,random-prior:4,863.55,752,1368,1381,5,True,28.44
large_n8_13,8,and_resource_nmcts,random-prior:6,863.55,752,1368,1381,5,True,29.39
large_n8_13,8,and_resource_nmcts,random-prior:7,863.55,752,1368,1381,5,True,29.62
large_n8_14,8,and_resource_nmcts,random-prior:0,890.98,776,1414,1426,5,True,24.08
large_n8_14,8,and_resource_nmcts,random-prior:1,890.98,776,1414,1426,5,True,24.31
large_n8_14,8,and_resource_nmcts,random-prior:2,890.98,776,1414,1426,5,True,24.31
large_n8_14,8,and_resource_nmcts,random-prior:3,890.98,776,1414,1426,5,True,24.88
large_n8_14,8,and_resource_nmcts,random-prior:4,890.98,776,1414,1426,5,True,24.53
large_n8_14,8,and_resource_nmcts,random-prior:5,890.98,776,1414,1426,5,True,25.36
large_n8_15,8,and_resource_nmcts,models/action_scorer_v2.pt,834.8700000000001,728,1304,1317,5,True,22.35
large_n8_15,8,and_resource_nmcts,,834.8700000000001,728,1304,1317,5,True,22.44
large_n8_14,8,and_resource_nmcts,random-prior:6,890.98,776,1414,1426,5,True,24.28
large_n8_14,8,and_resource_nmcts,random-prior:7,890.98,776,1414,1426,5,True,24.33
large_n8_15,8,and_resource_nmcts,random-prior:0,834.8700000000001,728,1304,1317,5,True,21.85
large_n8_15,8,and_resource_nmcts,random-prior:1,834.8700000000001,728,1304,1317,5,True,22.79
large_n8_15,8,and_resource_nmcts,random-prior:2,834.8700000000001,728,1304,1317,5,True,23.0
large_n8_15,8,and_resource_nmcts,random-prior:3,834.8700000000001,728,1304,1317,5,True,23.15
large_n8_15,8,and_resource_nmcts,random-prior:4,834.8700000000001,728,1304,1317,5,True,23.36
large_n8_15,8,and_resource_nmcts,random-prior:5,834.8700000000001,728,1304,1317,5,True,23.42
large_n8_15,8,and_resource_nmcts,random-prior:6,834.8700000000001,728,1304,1317,5,True,23.78
large_n8_15,8,and_resource_nmcts,random-prior:7,834.8700000000001,728,1304,1317,5,True,24.21
large_n8_16,8,and_resource_nmcts,random-prior:0,810.97,704,1280,1289,6,True,24.84
large_n8_16,8,and_resource_nmcts,models/action_scorer_v2.pt,810.97,704,1280,1289,6,True,25.01
large_n8_16,8,and_resource_nmcts,,810.97,704,1280,1289,6,True,25.3
large_n8_16,8,and_resource_nmcts,random-prior:1,810.97,704,1280,1289,6,True,25.32
large_n8_16,8,and_resource_nmcts,random-prior:2,810.97,704,1280,1289,6,True,24.48
large_n8_16,8,and_resource_nmcts,random-prior:3,810.97,704,1280,1289,6,True,24.6
large_n8_16,8,and_resource_nmcts,random-prior:4,810.97,704,1280,1289,6,True,23.56
large_n8_16,8,and_resource_nmcts,random-prior:5,810.97,704,1280,1289,6,True,23.49
large_n8_16,8,and_resource_nmcts,random-prior:6,810.97,704,1280,1289,6,True,23.85
large_n8_16,8,and_resource_nmcts,random-prior:7,810.97,704,1280,1289,6,True,22.58
large_n8_17,8,and_resource_nmcts,,843.34,736,1312,1322,5,True,22.1
large_n8_17,8,and_resource_nmcts,models/action_scorer_v2.pt,843.34,736,1312,1322,5,True,21.9
large_n8_17,8,and_resource_nmcts,random-prior:0,843.34,736,1312,1322,5,True,23.5
large_n8_17,8,and_resource_nmcts,random-prior:1,843.34,736,1312,1322,5,True,23.48
large_n8_17,8,and_resource_nmcts,random-prior:2,843.34,736,1312,1322,5,True,23.37
large_n8_17,8,and_resource_nmcts,random-prior:3,843.34,736,1312,1322,5,True,23.3
large_n8_17,8,and_resource_nmcts,random-prior:4,843.34,736,1312,1322,5,True,23.22
large_n8_18,8,and_resource_nmcts,,804.46,700,1303,1303,4,True,19.36
large_n8_17,8,and_resource_nmcts,random-prior:5,843.34,736,1312,1322,5,True,23.38
large_n8_18,8,and_resource_nmcts,random-prior:0,804.46,700,1303,1303,4,True,19.38
large_n8_17,8,and_resource_nmcts,random-prior:6,843.34,736,1312,1322,5,True,23.8
large_n8_18,8,and_resource_nmcts,models/action_scorer_v2.pt,804.46,700,1303,1303,4,True,19.62
large_n8_17,8,and_resource_nmcts,random-prior:7,843.34,736,1312,1322,5,True,23.56
large_n8_18,8,and_resource_nmcts,random-prior:1,804.46,700,1303,1303,4,True,18.83
large_n8_18,8,and_resource_nmcts,random-prior:3,804.46,700,1303,1303,4,True,17.09
