CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
72,32,18,True,83,,1,45,and_resource_nmcts,5,7,sweep_truth_n5_6,2,t_heavy,T-heavy,35.72,,12,2.550139904022217,7A0CA6E
75,36,10,True,75,,1,33,and_affine_nmcts,5,7,sweep_truth_n5_7,2,t_heavy,T-heavy,39.665,,10,2.5747768878936768,17FC695A
92,56,15,True,105,,0,49,and_cube_beam,5,6,sweep_truth_n5_10,3,t_heavy,T-heavy,61.15,,15,0.011555910110473633,815EF6D1
72,76,15,True,100,,0,46,sshr_h,5,6,sweep_truth_n5_10,2,t_heavy,T-heavy,79.81,,15,0.0030150413513183594,815EF6D1
133,80,13,True,133,,0,53,and_direct_anf,5,6,sweep_truth_n5_11,3,t_heavy,T-heavy,85.92500000000001,,13,8.916854858398438e-05,9A1DE644
75,36,10,True,75,,1,33,and_resource_nmcts,5,7,sweep_truth_n5_7,2,t_heavy,T-heavy,39.665,,10,2.5621602535247803,17FC695A
106,52,13,True,106,,1,46,and_mcts_factor,5,7,sweep_truth_n5_11,2,t_heavy,T-heavy,56.35,,13,0.046846866607666016,9A1DE644
114,52,18,True,125,,1,61,and_affine_nmcts,5,7,sweep_truth_n5_5,2,t_heavy,T-heavy,56.64,,13,4.831273794174194,822E8F3
92,56,13,True,110,,0,54,and_cube_beam,5,6,sweep_truth_n5_11,3,t_heavy,T-heavy,61.2,,13,0.009681940078735352,9A1DE644
110,116,13,True,142,,0,59,sshr_h,5,6,sweep_truth_n5_11,2,t_heavy,T-heavy,120.655,,13,0.0319819450378418,9A1DE644
432,268,31,True,433,,0,165,and_direct_anf,6,7,sweep_truth_n6_0,4,t_heavy,T-heavy,281.47,,31,0.00017786026000976562,8FADC1A606CB0FB3
114,52,18,True,125,,1,61,and_resource_nmcts,5,7,sweep_truth_n5_5,2,t_heavy,T-heavy,56.64,,13,4.884685277938843,822E8F3
299,152,31,True,300,,2,126,and_mcts_factor,6,9,sweep_truth_n6_0,3,t_heavy,T-heavy,161.615,,31,0.6410629749298096,8FADC1A606CB0FB3
108,48,18,True,109,,1,53,and_affine_nmcts,5,7,sweep_truth_n5_8,2,t_heavy,T-heavy,52.43,,14,3.9243152141571045,37F8A88B
258,160,31,True,326,,0,166,and_cube_beam,6,7,sweep_truth_n6_0,4,t_heavy,T-heavy,170.33,,31,0.06248116493225098,8FADC1A606CB0FB3
120,192,31,True,166,,0,77,sshr_h,6,7,sweep_truth_n6_0,2,t_heavy,T-heavy,197.01500000000001,,31,0.0312039852142334,8FADC1A606CB0FB3
524,324,39,True,525,,0,201,and_direct_anf,6,7,sweep_truth_n6_1,3,t_heavy,T-heavy,338.49,,39,0.00020194053649902344,B74D0FB132E70629
256,128,31,True,257,,2,113,and_affine_nmcts,6,9,sweep_truth_n6_0,3,t_heavy,T-heavy,136.69,,24,0.7457280158996582,8FADC1A606CB0FB3
108,48,18,True,109,,1,53,and_resource_nmcts,5,7,sweep_truth_n5_8,2,t_heavy,T-heavy,52.43,,14,4.070811033248901,37F8A88B
87,40,18,True,96,,1,48,and_affine_nmcts,5,7,sweep_truth_n5_9,2,t_heavy,T-heavy,44.025,,11,4.190171957015991,3B8FAA18
245,152,39,True,289,,0,137,and_cube_beam,6,7,sweep_truth_n6_1,4,t_heavy,T-heavy,161.805,,39,0.055639028549194336,B74D0FB132E70629
152,204,39,True,208,,0,106,sshr_h,6,7,sweep_truth_n6_1,2,t_heavy,T-heavy,209.85,,39,0.036180973052978516,B74D0FB132E70629
398,244,33,True,399,,0,155,and_direct_anf,6,7,sweep_truth_n6_2,4,t_heavy,T-heavy,256.74,,33,0.00018405914306640625,B38A088CA65ED389
87,40,18,True,96,,1,48,and_resource_nmcts,5,7,sweep_truth_n5_9,2,t_heavy,T-heavy,44.025,,11,4.286531209945679,3B8FAA18
340,172,39,True,341,,1,145,and_mcts_factor,6,8,sweep_truth_n6_1,2,t_heavy,T-heavy,181.53,,39,0.8992540836334229,B74D0FB132E70629
283,140,33,True,284,,2,122,and_mcts_factor,6,9,sweep_truth_n6_2,3,t_heavy,T-heavy,149.275,,33,0.5368058681488037,B38A088CA65ED389
237,148,33,True,287,,0,139,and_cube_beam,6,7,sweep_truth_n6_2,4,t_heavy,T-heavy,157.685,,33,0.05428290367126465,B38A088CA65ED389
146,220,33,True,198,,0,96,sshr_h,6,7,sweep_truth_n6_2,2,t_heavy,T-heavy,225.66,,33,0.0387568473815918,B38A088CA65ED389
372,228,30,True,372,,0,144,and_direct_anf,6,7,sweep_truth_n6_3,3,t_heavy,T-heavy,239.16000000000003,,30,0.00017595291137695312,6B65A6A48B8148F6
263,136,39,True,274,,2,128,and_affine_nmcts,6,9,sweep_truth_n6_1,3,t_heavy,T-heavy,144.95499999999998,,30,1.009383201599121,B74D0FB132E70629
260,128,33,True,261,,2,115,and_affine_nmcts,6,9,sweep_truth_n6_2,3,t_heavy,T-heavy,136.78,,26,0.6479082107543945,B38A088CA65ED389
84,40,15,True,90,,1,44,and_affine_nmcts,5,7,sweep_truth_n5_10,2,t_heavy,T-heavy,43.93,,11,3.516350269317627,815EF6D1
256,128,31,True,257,,2,113,and_resource_nmcts,6,9,sweep_truth_n6_0,3,t_heavy,T-heavy,136.69,,24,1.4120218753814697,8FADC1A606CB0FB3
214,132,30,True,282,,0,150,and_cube_beam,6,7,sweep_truth_n6_3,4,t_heavy,T-heavy,141.37,,30,0.05423903465270996,6B65A6A48B8148F6
448,276,34,True,448,,0,172,and_direct_anf,6,7,sweep_truth_n6_4,3,t_heavy,T-heavy,288.82000000000005,,34,0.0002167224884033203,72FF5D2A386ECBE0
84,40,15,True,90,,1,44,and_resource_nmcts,5,7,sweep_truth_n5_10,2,t_heavy,T-heavy,43.93,,11,3.569528102874756,815EF6D1
264,136,30,True,264,,1,112,and_mcts_factor,6,8,sweep_truth_n6_3,2,t_heavy,T-heavy,143.84,,30,0.5453016757965088,6B65A6A48B8148F6
124,156,30,True,166,,0,82,sshr_h,6,7,sweep_truth_n6_3,2,t_heavy,T-heavy,161.10000000000002,,30,0.42536425590515137,6B65A6A48B8148F6
214,112,30,True,226,,1,102,and_affine_nmcts,6,8,sweep_truth_n6_3,2,t_heavy,T-heavy,118.85,,24,0.6464309692382812,6B65A6A48B8148F6
246,152,34,True,294,,0,142,and_cube_beam,6,7,sweep_truth_n6_4,4,t_heavy,T-heavy,161.87,,34,0.0631098747253418,72FF5D2A386ECBE0
372,228,30,True,372,,0,144,and_direct_anf,6,7,sweep_truth_n6_5,3,t_heavy,T-heavy,239.16000000000003,,30,0.00016999244689941406,4737819096DA1DAC
256,132,39,True,266,,2,120,and_resource_nmcts,6,9,sweep_truth_n6_1,3,t_heavy,T-heavy,140.77,,30,1.7849409580230713,B74D0FB132E70629
