split,target,baseline,metric,items,wins,losses,ties,mean_relative
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,score,38,6,6,26,0.0012169341762801064
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,score_rz1,38,6,6,26,0.0013882157815734862
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,rz_non_clifford,38,0,1,37,0.0006747638326585695
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,rz_total,38,4,4,30,0.0026230540201694387
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,CNOT,38,7,3,28,-0.006501618187316126
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top256,depth,38,8,4,26,-0.004663377462334284
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,score_synth_tperrz30,38,2,11,25,0.0020378724949195633
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,score,38,2,11,25,0.012065424039972725
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,score_rz1,38,2,11,25,0.00467070037937177
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,rz_non_clifford,38,0,1,37,0.0006747638326585695
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,rz_total,38,2,8,28,0.012091112033093696
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,CNOT,38,5,6,27,0.002643466689824777
test_n6,phase_parity_affine_policy_tperrz30_top64,phase_affine_random_top512,depth,38,5,8,25,0.0045252397387338765
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,15,1,22,-0.02391220930703493
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,score,38,14,2,22,-0.055496328510790574
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,score_rz1,38,15,1,22,-0.034202896033065644
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,rz_non_clifford,38,3,0,35,-0.013674812030075187
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,rz_total,38,15,0,23,-0.04096243204879721
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,CNOT,38,14,2,22,-0.023140317480457896
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_budget32_tperrz30,depth,38,14,2,22,-0.028098401094749433
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,11,27,0.001387482598175522
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,score,38,0,11,27,0.013291222810056498
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,score_rz1,38,0,11,27,0.004537894478779047
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,rz_total,38,0,10,28,0.014104011777278172
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,CNOT,38,2,7,29,0.005856390104745801
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_wide128_tperrz30,depth,38,2,9,27,0.007493116212104382
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,score_synth_tperrz30,38,13,2,23,-0.0005412927052742748
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,score,38,13,2,23,-0.03483883942690254
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,score_rz1,38,13,2,23,-0.011302204180552118
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,rz_total,38,7,3,28,-0.0036516599134939413
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,CNOT,38,9,3,26,-0.019531144180450655
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top64,depth,38,10,3,25,-0.016596241025956717
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top128,score_synth_tperrz30,38,10,5,23,0.0007598631529218852
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top128,score,38,10,5,23,-0.004585428431782669
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top128,score_rz1,38,10,5,23,-0.0009834232057790977
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top128,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top128,rz_total,38,3,6,29,0.00428756807982533
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top128,CNOT,38,9,4,25,-0.008959302399329525
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top128,depth,38,10,4,24,-0.006289003449577092
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top256,score_synth_tperrz30,38,10,4,24,0.0007365159056294597
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top256,score,38,10,4,24,-0.00757254359699664
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top256,score_rz1,38,10,4,24,-0.001614853164675335
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top256,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top256,rz_total,38,6,4,28,-0.0008791795222459099
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top256,CNOT,38,7,4,27,-0.007841157731036769
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top256,depth,38,9,5,24,-0.006455105381027533
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top512,score_synth_tperrz30,38,5,6,27,0.001258146199206548
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top512,score,38,5,6,27,0.0028235959747124986
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top512,score_rz1,38,5,6,27,0.0016329935707185541
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top512,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top512,rz_total,38,2,6,30,0.008382195972390236
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top512,CNOT,38,5,5,28,0.001242966212948484
test_n6,phase_parity_affine_policy_tperrz30_top128,phase_affine_random_top512,depth,38,5,6,27,0.0026455201392954694
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_budget32_tperrz30,score_synth_tperrz30,38,15,0,23,-0.024145043125624807
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_budget32_tperrz30,score,38,14,1,23,-0.058294030877408365
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_budget32_tperrz30,score_rz1,38,15,0,23,-0.03523762354554061
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_budget32_tperrz30,rz_non_clifford,38,3,0,35,-0.013674812030075187
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_budget32_tperrz30,rz_total,38,14,0,24,-0.04373180487357169
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_budget32_tperrz30,CNOT,38,14,1,23,-0.027937254759813283
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_budget32_tperrz30,depth,38,14,1,23,-0.032307419457393224
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_wide128_tperrz30,score_synth_tperrz30,38,0,9,29,0.0010271512570198314
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_wide128_tperrz30,score,38,0,9,29,0.00973553857757507
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_wide128_tperrz30,score_rz1,38,0,9,29,0.003307043275088697
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_wide128_tperrz30,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_wide128_tperrz30,rz_total,38,0,8,30,0.010517840466648658
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_wide128_tperrz30,CNOT,38,2,6,30,0.0008632492374267584
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_wide128_tperrz30,depth,38,2,7,29,0.002800993346710628
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top64,score_synth_tperrz30,38,14,2,22,-0.0008871616057724428
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top64,score,38,14,2,22,-0.03802250361304625
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top64,score_rz1,38,14,2,22,-0.01248709440692603
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top64,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top64,rz_total,38,8,2,28,-0.007117564214854397
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top64,CNOT,38,10,2,26,-0.02436375337771189
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top64,depth,38,11,2,25,-0.021082387005434976
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top128,score_synth_tperrz30,38,11,3,24,0.0004041157789890041
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top128,score,38,11,3,24,-0.008000080356454185
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top128,score_rz1,38,11,3,24,-0.002198480842234191
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top128,rz_non_clifford,38,0,0,38,0.0
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top128,rz_total,38,5,4,29,0.0008357868609840268
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top128,CNOT,38,10,2,26,-0.013703795059666228
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top128,depth,38,11,2,25,-0.010762354677589698
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top256,score_synth_tperrz30,38,12,2,24,0.00038077618947055696
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top256,score,38,12,2,24,-0.01094490033679766
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top256,score_rz1,38,12,2,24,-0.0028262109443116736
test_n6,phase_parity_affine_policy_tperrz30_top256,phase_affine_random_top256,rz_non_clifford,38,0,0,38,0.0
