name,verified,threshold,run_probability,action,resource_time_s,pareto_time_s,policy_time_s,resource_score,pareto_score,policy_score,resource_T,pareto_T,policy_T,resource_CNOT,pareto_CNOT,policy_CNOT,resource_depth,pareto_depth,policy_depth,resource_gates,pareto_gates,policy_gates,resource_peak_ancilla,pareto_peak_ancilla,policy_peak_ancilla
raw_mcts_budget_policy_test_seed45:truth_n5_42,True,0.6,0.6521639823913574,run_pareto,0.3719909191131592,2.5645499229431152,2.9365408420562744,44.470000000000006,44.470000000000006,44.470000000000006,36.0,36.0,36.0,73.0,73.0,73.0,78.0,78.0,78.0,38.0,38.0,38.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_43,True,0.6,0.6202824711799622,run_pareto,0.5024709701538086,2.983870029449463,3.4863409996032715,49.16,49.16,49.16,40.0,40.0,40.0,85.0,85.0,85.0,88.0,88.0,88.0,44.0,44.0,44.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_44,True,0.6,0.7038823366165161,run_pareto,0.5349948406219482,3.8787219524383545,4.413716793060303,58.17,49.17,49.17,48.0,40.0,40.0,102.0,84.0,84.0,106.0,90.0,90.0,50.0,46.0,46.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_45,True,0.6,0.703829288482666,run_pareto,0.4946291446685791,3.2564401626586914,3.7510693073272705,44.39000000000001,44.39000000000001,44.39000000000001,36.0,36.0,36.0,71.0,71.0,71.0,78.0,78.0,78.0,38.0,38.0,38.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_46,True,0.6,0.5650776028633118,stop_after_resource,0.42497777938842773,2.882685899734497,0.42497777938842773,40.25,36.085,40.25,32.0,28.0,32.0,67.0,65.0,67.0,78.0,73.0,78.0,40.0,39.0,40.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_47,True,0.6,0.7749521732330322,run_pareto,0.5294318199157715,3.710376024246216,4.239807844161987,53.67999999999999,53.67999999999999,53.67999999999999,44.0,44.0,44.0,95.0,95.0,95.0,96.0,96.0,96.0,44.0,44.0,44.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_48,True,0.6,0.8495818376541138,run_pareto,0.3674330711364746,2.737457036972046,3.1048901081085205,46.74,46.74,46.74,36.0,36.0,36.0,79.0,79.0,79.0,80.0,80.0,80.0,38.0,38.0,38.0,3.0,3.0,3.0
raw_mcts_budget_policy_test_seed45:truth_n5_49,True,0.6,0.3310546875,stop_after_resource,0.35120630264282227,2.510603904724121,0.35120630264282227,45.26,45.26,45.26,36.0,36.0,36.0,85.0,85.0,85.0,92.0,92.0,92.0,48.0,48.0,48.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_5,True,0.6,0.5953683853149414,stop_after_resource,0.570929765701294,4.075592041015625,0.570929765701294,58.14,57.885000000000005,58.14,48.0,48.0,48.0,102.0,97.0,102.0,104.0,101.0,104.0,50.0,49.0,50.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_50,True,0.6,0.6121334433555603,run_pareto,0.43820619583129883,3.146158218383789,3.584364414215088,40.52,40.52,40.52,32.0,32.0,32.0,73.0,73.0,73.0,80.0,80.0,80.0,40.0,40.0,40.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_51,True,0.6,0.5444332361221313,stop_after_resource,0.425220251083374,3.211427927017212,0.425220251083374,49.78,49.78,49.78,40.0,40.0,40.0,94.0,94.0,94.0,100.0,100.0,100.0,52.0,52.0,52.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_52,True,0.6,0.8459552526473999,run_pareto,0.409404993057251,2.7451400756835938,3.1545450687408447,35.685,35.685,35.685,28.0,28.0,28.0,59.0,59.0,59.0,65.0,65.0,65.0,35.0,35.0,35.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_53,True,0.6,0.7162446975708008,run_pareto,0.5049982070922852,3.4546170234680176,3.9596152305603027,53.585,53.585,53.585,44.0,44.0,44.0,92.0,92.0,92.0,97.0,97.0,97.0,45.0,45.0,45.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_54,True,0.6,0.8268607258796692,run_pareto,0.3582577705383301,2.619709014892578,2.977966785430908,46.294999999999995,44.470000000000006,44.470000000000006,36.0,36.0,36.0,70.0,73.0,73.0,75.0,78.0,78.0,37.0,38.0,38.0,3.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_55,True,0.6,0.6362270712852478,run_pareto,0.7031610012054443,4.4601640701293945,5.163325071334839,62.96,49.055,49.055,52.0,40.0,40.0,114.0,83.0,83.0,120.0,87.0,87.0,60.0,43.0,43.0,2.0,2.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_56,True,0.6,0.5158930420875549,stop_after_resource,0.3456850051879883,2.2759170532226562,0.3456850051879883,48.945,42.28,48.945,40.0,32.0,40.0,82.0,68.0,82.0,85.0,76.0,85.0,39.0,42.0,39.0,2.0,3.0,2.0
raw_mcts_budget_policy_test_seed45:truth_n5_57,True,0.6,0.5600045323371887,stop_after_resource,0.525407075881958,3.563966989517212,0.525407075881958,58.075,51.195,58.075,48.0,40.0,48.0,101.0,84.0,101.0,103.0,91.0,103.0,49.0,47.0,49.0,2.0,3.0,2.0
