name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n20_0006_deep,20,deep,180,depth2_guard_direct,1667.545,1512,2441,2441,929,6,0.5888673750014277,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,depth_frontier_policy,1602.23,1452,2350,2350,898,6,6.8438545420067385,True,11,0,True,172,180,0
terms_n20_0006_deep,20,deep,180,depth_policy,1667.545,1512,2441,2441,929,6,0.5888673750014277,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,direct_logical_and,1876.8,1704,2736,2736,1032,6,7.90998456068337e-07,True,1,0,True,180,180,0
terms_n20_0006_deep,20,deep,180,screen_depth1,1706.76,1548,2496,2496,948,6,0.11775266599579481,True,5,0,True,174,180,0
terms_n20_0006_deep,20,deep,180,screen_depth2,1667.545,1512,2441,2441,929,6,0.5888673750014277,True,7,0,True,173,180,0
terms_n20_0006_deep,20,deep,180,screen_depth3,1632.6799999999998,1480,2392,2392,912,6,2.2327599580021342,True,9,0,True,172,180,0
terms_n20_0006_deep,20,deep,180,screen_depth4,1602.23,1452,2350,2350,898,6,6.8438545420067385,True,11,0,True,172,180,0
terms_n20_0006_deep,20,deep,180,screen_single,1789.5400000000002,1624,2612,2612,988,6,0.01750233300117543,True,3,0,True,176,180,0
terms_n20_0007_shallow,20,shallow,39,adaptive_all_depth,384.7,344,556,556,212,4,0.027645374997518957,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,depth2_guard_direct,384.7,344,556,556,212,4,0.0060121659989818,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,depth_frontier_policy,384.7,344,556,556,212,4,0.006229582999367267,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,depth_policy,384.7,344,556,556,212,4,0.0060121659989818,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,direct_logical_and,415.085,372,597,597,225,4,6.249974831007421e-07,True,1,0,True,39,39,0
terms_n20_0007_shallow,20,shallow,39,screen_depth1,384.7,344,556,556,212,4,0.0060121659989818,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,screen_depth2,384.7,344,556,556,212,4,0.006229582999367267,True,3,0,True,40,39,0
terms_n20_0007_shallow,20,shallow,39,screen_depth3,384.7,344,556,556,212,4,0.006110166999860667,True,3,0,True,40,39,0
