threshold,pairs,run_depth4,true_runs,false_runs,false_skips,score_wlt_vs_sparse,mean_rel_score_vs_sparse,mean_rel_time_vs_sparse,score_wlt_vs_depth2,mean_rel_score_vs_depth2,mean_rel_time_vs_depth2
9.737314030644484e-06,144,120,94,26,0,0/0/144,0.0,-0.084078068163966,94/0/50,-0.026914379807401214,7.520101468262162
1.3794537153444253e-05,144,119,94,25,0,0/0/144,0.0,-0.08754817194748701,94/0/50,-0.026914379807401214,7.513165492405749
1.7851760276244022e-05,144,119,94,25,0,0/0/144,0.0,-0.08754817194748701,94/0/50,-0.026914379807401214,7.513165492405749
1.8735654521151446e-05,144,118,94,24,0,0/0/144,0.0,-0.09142818921650167,94/0/50,-0.026914379807401214,7.504372800386766
1.961954876605887e-05,144,118,94,24,0,0/0/144,0.0,-0.09142818921650167,94/0/50,-0.026914379807401214,7.504372800386766
2.922418116213521e-05,144,117,94,23,0,0/0/144,0.0,-0.09489838664929785,94/0/50,-0.026914379807401214,7.4974364503798405
3.882881355821155e-05,144,117,94,23,0,0/0/144,0.0,-0.09489838664929785,94/0/50,-0.026914379807401214,7.4974364503798405
4.436098788573872e-05,144,116,94,22,0,0/0/144,0.0,-0.09836128306558226,94/0/50,-0.026914379807401214,7.490529209237324
4.9893162213265896e-05,144,116,94,22,0,0/0/144,0.0,-0.09836128306558226,94/0/50,-0.026914379807401214,7.490529209237324
5.477546073962003e-05,144,115,94,21,0,0/0/144,0.0,-0.10183079564202517,94/0/50,-0.026914379807401214,7.483595594924401
5.9657759265974164e-05,144,115,94,21,0,0/0/144,0.0,-0.10183079564202517,94/0/50,-0.026914379807401214,7.483595594924401
6.489286170108244e-05,144,114,94,20,0,0/0/144,0.0,-0.10528439896018897,94/0/50,-0.026914379807401214,7.476725228869761
7.012796413619071e-05,144,114,94,20,0,0/0/144,0.0,-0.10528439896018897,94/0/50,-0.026914379807401214,7.476725228869761
8.136708856909536e-05,144,113,94,19,0,0/0/144,0.0,-0.10875892294907887,94/0/50,-0.026914379807401214,7.469771571251152
9.2606213002e-05,144,113,94,19,0,0/0/144,0.0,-0.10875892294907887,94/0/50,-0.026914379807401214,7.469771571251152
9.55870455072727e-05,144,112,94,18,0,0/0/144,0.0,-0.1126789611009311,94/0/50,-0.026914379807401214,7.460770635354306
9.856787801254541e-05,144,112,94,18,0,0/0/144,0.0,-0.1126789611009311,94/0/50,-0.026914379807401214,7.460770635354306
0.00018042060401057824,144,111,94,17,0,0/0/144,0.0,-0.11689507515616429,94/0/50,-0.026914379807401214,7.450039321454866
0.0002622733300086111,144,111,94,17,0,0/0/144,0.0,-0.11689507515616429,94/0/50,-0.026914379807401214,7.450039321454866
0.00033651237026788294,144,110,94,16,0,0/0/144,0.0,-0.12038085655905177,94/0/50,-0.026914379807401214,7.443040427660652
0.0004107514105271548,144,110,94,16,0,0/0/144,0.0,-0.12038085655905177,94/0/50,-0.026914379807401214,7.443040427660652
0.0005154229729669169,144,109,94,15,0,0/0/144,0.0,-0.12385549313680955,94/0/50,-0.026914379807401214,7.4360863190742545
0.0006200945354066789,144,109,94,15,0,0/0/144,0.0,-0.12385549313680955,94/0/50,-0.026914379807401214,7.4360863190742545
0.000988112500635907,144,108,94,14,0,0/0/144,0.0,-0.1273154590422488,94/0/50,-0.026914379807401214,7.4291907274553
0.001,144,108,94,14,0,0/0/144,0.0,-0.1273154590422488,94/0/50,-0.026914379807401214,7.4291907274553
0.0013561304658651352,144,108,94,14,0,0/0/144,0.0,-0.1273154590422488,94/0/50,-0.026914379807401214,7.4291907274553
0.002,144,107,94,13,0,0/0/144,0.0,-0.1307911701210464,94/0/50,-0.026914379807401214,7.422232313548167
0.003203724278137088,144,107,94,13,0,0/0/144,0.0,-0.1307911701210464,94/0/50,-0.026914379807401214,7.422232313548167
0.005,144,107,94,13,0,0/0/144,0.0,-0.1307911701210464,94/0/50,-0.026914379807401214,7.422232313548167
0.0050513180904090405,144,107,94,13,0,0/0/144,0.0,-0.1307911701210464,94/0/50,-0.026914379807401214,7.422232313548167
0.005312,144,106,94,12,0,0/0/144,0.0,-0.1342787878657046,94/0/50,-0.026914379807401214,7.415226012748438
0.0069552401546388865,144,106,94,12,0,0/0/144,0.0,-0.1342787878657046,94/0/50,-0.026914379807401214,7.415226012748438
0.008859162218868732,144,106,94,12,0,0/0/144,0.0,-0.1342787878657046,94/0/50,-0.026914379807401214,7.415226012748438
0.01,144,105,94,11,0,0/0/144,0.0,-0.13774308329304027,94/0/50,-0.026914379807401214,7.408313203263555
0.011670521460473537,144,105,94,11,0,0/0/144,0.0,-0.13774308329304027,94/0/50,-0.026914379807401214,7.408313203263555
0.014481880702078342,144,105,94,11,0,0/0/144,0.0,-0.13774308329304027,94/0/50,-0.026914379807401214,7.408313203263555
0.015049089677631855,144,104,94,10,0,0/0/144,0.0,-0.1412096392154454,94/0/50,-0.026914379807401214,7.401391387091429
0.015616298653185368,144,104,94,10,0,0/0/144,0.0,-0.1412096392154454,94/0/50,-0.026914379807401214,7.401391387091429
0.02,144,103,94,9,0,0/0/144,0.0,-0.14522091433908166,94/0/50,-0.026914379807401214,7.3918944661159305
0.023085983004420996,144,103,94,9,0,0/0/144,0.0,-0.14522091433908166,94/0/50,-0.026914379807401214,7.3918944661159305
0.030555667355656624,144,103,94,9,0,0/0/144,0.0,-0.14522091433908166,94/0/50,-0.026914379807401214,7.3918944661159305
0.03067540004849434,144,102,94,8,0,0/0/144,0.0,-0.14923401314104573,94/0/50,-0.026914379807401214,7.382387316472286
0.030795132741332054,144,102,94,8,0,0/0/144,0.0,-0.14923401314104573,94/0/50,-0.026914379807401214,7.382387316472286
0.039703271351754665,144,101,93,8,1,0/1/143,6.235637772927296e-05,-0.15487878266295488,93/0/51,-0.026852578364504855,7.3522260910251385
0.04861140996217728,144,101,93,8,1,0/1/143,6.235637772927296e-05,-0.15487878266295488,93/0/51,-0.026852578364504855,7.3522260910251385
0.05,144,100,92,8,2,0/2/142,0.00013128983529214378,-0.16089034017905127,92/0/52,-0.026784322443734947,7.307475836812616
0.08750361576676369,144,100,92,8,2,0/2/142,0.00013128983529214378,-0.16089034017905127,92/0/52,-0.026784322443734947,7.307475836812616
0.1,144,100,92,8,2,0/2/142,0.00013128983529214378,-0.16089034017905127,92/0/52,-0.026784322443734947,7.307475836812616
0.1263958215713501,144,100,92,8,2,0/2/142,0.00013128983529214378,-0.16089034017905127,92/0/52,-0.026784322443734947,7.307475836812616
0.13735956698656082,144,99,92,7,2,0/2/142,0.00013128983529214378,-0.16482846441834273,92/0/52,-0.026784322443734947,7.2983789731624285
0.14832331240177155,144,99,92,7,2,0/2/142,0.00013128983529214378,-0.16482846441834273,92/0/52,-0.026784322443734947,7.2983789731624285
