CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
44,20,10,True,46,1,22,and_pareto_resource_nmcts,4,6,truth_n4_61,1,24.67,,6,0.6603929996490479,2A6D
60,24,12,True,71,1,43,and_resource_nmcts,5,7,truth_n5_1,2,31.895,,9,0.4542350769042969,13B93773
34,16,7,True,37,1,19,and_pareto_resource_nmcts,4,6,truth_n4_60,2,22.105,,5,1.0832509994506836,D6CF
69,36,11,True,74,1,36,and_resource_no_mcts,5,7,truth_n5_3,2,44.23,,10,0.037451982498168945,9F9F243F
171,92,15,True,171,2,71,and_pareto_resource_nmcts,6,9,majority_n6,3,108.115,,15,10.585831880569458,FEE8E880E8808000
84,44,16,True,93,1,47,and_resource_no_mcts,5,7,truth_n5_4,2,53.225,,14,0.11135506629943848,1A60E033
67,32,11,True,70,1,32,and_resource_nmcts,5,7,truth_n5_3,2,40.05,,7,0.4395751953125,9F9F243F
94,48,17,True,100,1,48,and_resource_nmcts,5,7,truth_n5_0,2,57.739999999999995,,12,1.0138881206512451,E38544F3
40,20,8,True,45,1,23,and_pareto_resource_nmcts,4,6,truth_n4_63,2,26.505000000000003,,7,1.0737111568450928,4678
91,44,17,True,93,1,43,and_resource_nmcts,5,7,truth_n5_2,2,53.465,,12,0.8054547309875488,85B25AC3
82,40,13,True,89,1,43,and_resource_no_mcts,5,7,truth_n5_5,2,49.045,,10,0.10384392738342285,FCFCBC36
92,44,17,True,97,1,47,and_resource_no_mcts,5,7,truth_n5_6,3,55.605,,15,0.1092989444732666,DB0E5E65
99,40,16,True,107,1,57,and_resource_nmcts,5,7,truth_n5_4,2,50.135,,12,0.7491049766540527,1A60E033
72,36,13,True,76,1,36,and_resource_nmcts,5,7,truth_n5_5,2,44.38,,9,0.7951750755310059,FCFCBC36
91,44,25,True,97,1,47,and_resource_no_mcts,5,7,truth_n5_7,2,53.565,,12,0.09919595718383789,D0469667
92,44,17,True,97,1,47,and_resource_nmcts,5,7,truth_n5_6,3,55.605,,15,1.0600149631500244,DB0E5E65
60,24,12,True,71,1,43,and_pareto_resource_nmcts,5,7,truth_n5_1,2,31.895,,9,2.7444589138031006,13B93773
95,44,23,True,102,2,50,and_resource_no_mcts,5,8,truth_n5_8,3,55.83,,13,0.13156604766845703,9599BC3D
87,40,25,True,95,1,47,and_resource_nmcts,5,7,truth_n5_7,2,49.37499999999999,,10,1.1421301364898682,D0469667
67,32,11,True,70,1,32,and_pareto_resource_nmcts,5,7,truth_n5_3,2,40.05,,7,3.049605131149292,9F9F243F
97,48,19,True,101,1,47,and_resource_no_mcts,5,7,truth_n5_9,2,57.865,,12,0.15553689002990723,A76BB9C8
96,44,23,True,102,1,52,and_resource_nmcts,5,7,truth_n5_8,2,53.89000000000001,,11,1.2714617252349854,9599BC3D
97,48,19,True,101,1,47,and_resource_nmcts,5,7,truth_n5_9,2,57.865,,12,0.8607480525970459,A76BB9C8
93,40,15,True,96,1,48,and_resource_no_mcts,5,7,truth_n5_10,2,49.63999999999999,,11,0.10575413703918457,EECB2547
171,92,35,True,184,2,84,and_pareto_resource_nmcts,6,9,threshold3_n6,3,108.44000000000001,,16,14.356437921524048,FFFEFEE8FEE8E880
80,36,17,True,82,1,40,and_pareto_resource_nmcts,5,7,truth_n5_2,3,46.83,,12,5.17588996887207,85B25AC3
85,40,17,True,91,1,45,and_resource_no_mcts,5,7,truth_n5_11,2,49.215,,12,0.10396885871887207,A6561BE6
93,40,15,True,96,1,48,and_resource_nmcts,5,7,truth_n5_10,2,49.63999999999999,,11,0.8652048110961914,EECB2547
83,40,16,True,85,1,41,and_pareto_resource_nmcts,5,7,truth_n5_4,2,49.004999999999995,,12,5.22391414642334,1A60E033
81,40,17,True,85,1,41,and_resource_no_mcts,5,7,truth_n5_12,3,50.925,,11,0.12196588516235352,ADE3702D
84,40,17,True,90,1,44,and_resource_nmcts,5,7,truth_n5_11,2,49.15,,11,0.786916971206665,A6561BE6
72,36,13,True,76,1,36,and_pareto_resource_nmcts,5,7,truth_n5_5,2,44.38,,9,5.385899782180786,FCFCBC36
63,32,16,True,70,1,36,and_resource_no_mcts,5,7,truth_n5_13,2,39.93,,10,0.1027991771697998,FA0448E
84,40,17,True,89,2,45,and_pareto_resource_nmcts,5,8,truth_n5_0,3,51.145,,15,7.011154890060425,E38544F3
82,36,17,True,86,1,42,and_resource_nmcts,5,7,truth_n5_12,2,44.99,,11,0.863908052444458,ADE3702D
63,32,16,True,70,1,36,and_resource_nmcts,5,7,truth_n5_13,2,39.93,,10,0.7351422309875488,FA0448E
100,44,18,True,106,1,54,and_resource_no_mcts,5,7,truth_n5_14,2,54.13,,11,0.15713000297546387,1816DA59
100,44,18,True,106,1,54,and_resource_nmcts,5,7,truth_n5_14,2,54.13,,11,0.8530669212341309,1816DA59
87,44,15,True,94,1,46,and_resource_no_mcts,5,7,truth_n5_15,2,53.349999999999994,,12,0.11346578598022461,D8448135
81,40,17,True,85,2,43,and_pareto_resource_nmcts,5,8,truth_n5_6,4,52.945,,15,6.90238881111145,DB0E5E65
87,44,15,True,94,1,46,and_resource_nmcts,5,7,truth_n5_15,2,53.349999999999994,,12,0.9458768367767334,D8448135
89,44,19,True,93,2,45,and_resource_no_mcts,5,8,truth_n5_16,3,55.40500000000001,,13,0.15708112716674805,9F6C6415
87,40,25,True,95,1,47,and_pareto_resource_nmcts,5,7,truth_n5_7,2,49.37499999999999,,10,7.437536001205444,D0469667
89,44,19,True,93,1,43,and_resource_nmcts,5,7,truth_n5_16,2,53.385000000000005,,10,1.1826419830322266,9F6C6415
105,52,16,True,114,1,56,and_resource_no_mcts,5,7,truth_n5_17,2,62.470000000000006,,14,0.08954596519470215,75198C34
88,44,19,True,96,1,50,and_pareto_resource_nmcts,5,7,truth_n5_9,3,55.46,,16,6.46387505531311,A76BB9C8
84,40,17,True,90,1,44,and_pareto_resource_nmcts,5,7,truth_n5_11,2,49.15,,11,5.766870975494385,A6561BE6
100,48,19,True,111,1,59,and_resource_no_mcts,5,7,truth_n5_18,2,58.255,,13,0.15585112571716309,C9715E97
93,40,15,True,96,1,48,and_pareto_resource_nmcts,5,7,truth_n5_10,2,49.63999999999999,,11,6.7910521030426025,EECB2547
100,48,16,True,107,1,51,and_resource_nmcts,5,7,truth_n5_17,2,58.114999999999995,,12,1.139650821685791,75198C34
80,40,23,True,85,2,41,and_pareto_resource_nmcts,5,8,truth_n5_8,3,50.885,,11,8.768850088119507,9599BC3D
61,28,16,True,70,1,38,and_pareto_resource_nmcts,5,7,truth_n5_13,2,35.870000000000005,,10,4.836080074310303,FA0448E
88,44,15,True,91,1,41,and_resource_no_mcts,5,7,truth_n5_19,2,53.295,,10,0.13213491439819336,A5AB4237
110,56,17,True,116,1,54,and_resource_no_mcts,5,7,truth_n5_20,2,66.68,,14,0.14278507232666016,E61F2DA4
82,36,17,True,86,1,42,and_pareto_resource_nmcts,5,7,truth_n5_12,2,44.99,,11,5.794919013977051,ADE3702D
105,44,19,True,116,1,62,and_resource_nmcts,5,7,truth_n5_18,2,54.56,,13,1.194005012512207,C9715E97
85,44,15,True,88,1,40,and_resource_nmcts,5,7,truth_n5_19,2,53.12,,10,1.0173611640930176,A5AB4237
90,44,15,True,96,1,46,and_resource_no_mcts,5,7,truth_n5_21,2,53.5,,11,0.11503815650939941,B9307855
100,48,17,True,105,1,49,and_resource_nmcts,5,7,truth_n5_20,2,58.065000000000005,,12,1.1006238460540771,E61F2DA4
