name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,time_s,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
terms_n48_0009_shallow,48,shallow,47,screen_depth3,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.025412833027075976,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,screen_depth4,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.02540508401580155,True,1,0,True,47,47,0
terms_n48_0009_shallow,48,shallow,47,screen_single,429.00500000000005,388,629,629,241,2,47,484,184,0,0,0.02995579200796783,True,1,0,True,47,47,0
terms_n48_0010_mixed,48,mixed,162,adaptive_all_depth,1518.54,1376,2220,2220,844,6,154,1679,659,1,46,56.24445204201038,True,11,0,True,156,162,0
terms_n48_0010_mixed,48,mixed,162,depth2_guard_direct,1535.615,1392,2239,2239,847,6,149,1697,665,1,35,3.248342083010357,True,7,0,True,151,162,0
terms_n48_0010_mixed,48,mixed,162,depth_frontier_policy,1535.615,1392,2239,2239,847,6,149,1697,665,1,35,3.248342083010357,True,7,0,True,151,162,0
terms_n48_0010_mixed,48,mixed,162,depth_policy,1535.615,1392,2239,2239,847,6,149,1697,665,1,35,3.248342083010357,True,7,0,True,151,162,0
terms_n48_0010_mixed,48,mixed,162,direct_logical_and,1845.18,1676,2676,2676,1000,6,162,1977,804,0,0,1.2910168152302504e-06,True,1,0,True,162,162,0
terms_n48_0010_mixed,48,mixed,162,screen_depth1,1592.23,1444,2318,2318,874,6,150,1747,690,1,26,0.6164846669998951,True,5,0,True,152,162,0
terms_n48_0010_mixed,48,mixed,162,screen_depth2,1535.615,1392,2239,2239,847,6,149,1697,665,1,35,3.248342083010357,True,7,0,True,151,162,0
terms_n48_0010_mixed,48,mixed,162,screen_depth3,1522.6950000000002,1380,2223,2223,843,6,151,1681,660,1,41,13.469864042010158,True,9,0,True,153,162,0
terms_n48_0010_mixed,48,mixed,162,screen_depth4,1518.54,1376,2220,2220,844,6,154,1679,659,1,46,38.807291707984405,True,11,0,True,156,162,0
terms_n48_0010_mixed,48,mixed,162,screen_single,1705.655,1548,2479,2479,931,6,155,1857,741,1,13,0.10246954200556502,True,3,0,True,157,162,0
terms_n48_0011_deep,48,deep,222,adaptive_all_depth,2429.5,2208,3532,3532,1324,7,218,2418,1062,1,42,90.71970033296384,True,11,0,True,220,222,0
terms_n48_0011_deep,48,deep,222,depth2_guard_direct,2485.855,2260,3607,3607,1347,7,216,2461,1086,1,29,4.7858840840053745,True,7,0,True,217,222,0
terms_n48_0011_deep,48,deep,222,depth_frontier_policy,2429.5,2208,3532,3532,1324,7,218,2418,1062,1,42,64.3743724579981,True,11,0,True,220,222,0
terms_n48_0011_deep,48,deep,222,depth_policy,2485.855,2260,3607,3607,1347,7,216,2461,1086,1,29,4.7858840840053745,True,7,0,True,217,222,0
terms_n48_0011_deep,48,deep,222,direct_logical_and,2686.28,2444,3888,3888,1444,7,222,2648,1174,0,0,1.1250085663050413e-06,True,1,0,True,222,222,0
terms_n48_0011_deep,48,deep,222,screen_depth1,2542.405,2312,3685,3685,1373,7,215,2508,1112,1,21,0.9207807499915361,True,5,0,True,217,222,0
terms_n48_0011_deep,48,deep,222,screen_depth2,2485.855,2260,3607,3607,1347,7,216,2461,1086,1,29,4.7858840840053745,True,7,0,True,217,222,0
terms_n48_0011_deep,48,deep,222,screen_depth3,2438.07,2216,3542,3542,1326,7,216,2426,1064,1,36,20.50867699997616,True,9,0,True,218,222,0
terms_n48_0011_deep,48,deep,222,screen_depth4,2429.5,2208,3532,3532,1324,7,218,2418,1062,1,42,64.3743724579981,True,11,0,True,220,222,0
terms_n48_0011_deep,48,deep,222,screen_single,2612.135,2376,3783,3783,1407,7,217,2576,1143,1,11,0.1299860409926623,True,3,0,True,219,222,0
terms_n48_0012_shallow,48,shallow,76,adaptive_all_depth,649.91,584,950,950,366,5,72,716,277,1,18,0.7653955830319319,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,depth2_guard_direct,649.91,584,950,950,366,5,72,716,277,1,18,0.1952430000237655,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,depth_frontier_policy,649.91,584,950,950,366,5,72,716,277,1,18,0.1952430000237655,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,depth_policy,649.91,584,950,950,366,5,72,716,277,1,18,0.1952430000237655,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,direct_logical_and,791.59,716,1150,1150,434,4,76,842,342,0,0,1.333013642579317e-06,True,1,0,True,76,76,0
terms_n48_0012_shallow,48,shallow,76,screen_depth1,649.91,584,950,950,366,5,72,716,277,1,18,0.11552008299622685,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,screen_depth2,649.91,584,950,950,366,5,72,716,277,1,18,0.1952430000237655,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,screen_depth3,649.91,584,950,950,366,5,72,716,277,1,18,0.20476829199469648,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,screen_depth4,649.91,584,950,950,366,5,72,716,277,1,18,0.2037437919934746,True,5,0,True,74,76,0
terms_n48_0012_shallow,48,shallow,76,screen_single,675.88,608,984,984,376,5,70,732,289,1,12,0.046120416023768485,True,3,0,True,72,76,0
