dataset,index,name,preset_name,n,anf_terms,method,flow,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,correct,source_blif_correct,verilog_correct,time_s,abc_time_s,cirkit_time_s,verify_time_s,aig_gates,aig_level,mc_size,mc_depth,cirkit_commit,abc_binary,cirkit_binary,source_manifest,skipped,error,aig_inputs,aig_outputs
highdim,28,anf_n14_28,anf_n14_28,14,258,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36616,54925,289,18309,9154,9154,9169,57308.424999999996,True,True,True,3.559602975845337,0.04871702194213867,3.300325870513916,0.11572098731994629,9154,48,9154,48,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,29,anf_n14_29,anf_n14_29,14,10,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",336,505,85,169,84,84,99,527.165,True,True,True,0.3109891414642334,0.03922605514526367,0.10130810737609863,0.07492876052856445,84,14,84,14,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,3,anf_n14_3,anf_n14_3,14,168,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",37996,56995,295,18999,9499,9499,9514,59468.215000000004,True,True,True,3.9220001697540283,0.052427053451538086,3.662114143371582,0.11452889442443848,9499,49,9499,49,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,30,anf_n14_30,anf_n14_30,14,15,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",3716,5575,157,1859,929,929,944,5817.945,True,True,True,0.9111549854278564,0.04027295112609863,0.6992440223693848,0.07941985130310059,929,26,929,26,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,31,anf_n14_31,anf_n14_31,14,627,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40680,61021,295,20341,10170,10170,10185,63668.675,True,True,True,4.128267765045166,0.05322098731994629,3.85915207862854,0.12030410766601562,10170,49,10170,49,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,32,anf_n14_32,anf_n14_32,14,77,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",19184,28777,193,9593,4796,4796,4811,30025.905000000002,True,True,True,2.1773197650909424,0.04628777503967285,1.939406156539917,0.09676098823547363,4796,32,4796,32,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,33,anf_n14_33,anf_n14_33,14,53,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",20032,30049,199,10017,5008,5008,5023,31353.114999999998,True,True,True,2.786104679107666,0.04527473449707031,2.548638105392456,0.09694099426269531,5008,33,5008,33,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,34,anf_n14_34,anf_n14_34,14,95,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",27352,41029,205,13677,6838,6838,6853,42809.005000000005,True,True,True,2.669719934463501,0.047695159912109375,2.4230968952178955,0.10534882545471191,6838,34,6838,34,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,35,anf_n14_35,anf_n14_35,14,68,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",30224,45337,259,15113,7556,7556,7571,47304.494999999995,True,True,True,2.8523290157318115,0.05063486099243164,2.597264051437378,0.10808110237121582,7556,43,7556,43,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,36,anf_n14_36,anf_n14_36,14,8,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",188,283,73,95,47,47,62,295.365,True,True,True,0.2976350784301758,0.03826403617858887,0.08823418617248535,0.07541394233703613,47,12,47,12,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,37,anf_n14_37,anf_n14_37,14,199,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40852,61279,301,20427,10213,10213,10228,63937.945,True,True,True,4.217447757720947,0.05326271057128906,3.947506904602051,0.12096309661865234,10213,50,10213,50,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,38,anf_n14_38,anf_n14_38,14,220,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",37060,55591,271,18531,9265,9265,9280,58003.015,True,True,True,3.616384983062744,0.04960989952087402,3.3559482097625732,0.11593198776245117,9265,45,9265,45,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,39,anf_n14_39,anf_n14_39,14,135,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",36684,55027,307,18343,9171,9171,9186,57415.115000000005,True,True,True,3.7122039794921875,0.050959110260009766,3.450042963027954,0.11858010292053223,9171,51,9171,51,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,4,anf_n14_4,anf_n14_4,14,455,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",39264,58897,313,19633,9816,9816,9831,61452.905,True,True,True,3.9646410942077637,0.05248284339904785,3.7004218101501465,0.11675906181335449,9816,52,9816,52,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,40,anf_n14_40,anf_n14_40,14,56,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",18796,28195,187,9399,4699,4699,4714,29418.595,True,True,True,2.477123975753784,0.04350590705871582,2.241744041442871,0.0955502986907959,4699,31,4699,31,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,41,anf_n14_41,anf_n14_41,14,712,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",40584,60877,289,20293,10146,10146,10161,63518.345,True,True,True,4.0990049839019775,0.05177497863769531,3.828026056289673,0.12426400184631348,10146,48,10146,48,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,42,anf_n14_42,anf_n14_42,14,46,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",13988,20983,163,6995,3497,3497,3512,21893.715,True,True,True,2.522745132446289,0.043440818786621094,2.2921500205993652,0.09191679954528809,3497,27,3497,27,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
highdim,43,anf_n14_43,anf_n14_43,14,31,external_cirkit_aig_mc,"cut_rewrite -a,resub -a",11128,16693,181,5565,2782,2782,2797,17418.085,True,True,True,2.387424945831299,0.04453301429748535,2.1584270000457764,0.08879899978637695,2782,30,2782,30,4531533394725864a304e710d82087ff74fbe801,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,/Users/zhouzixiang/Desktop/tzb/src/tmp/cirkit/build/cli/cirkit,benchmark_exports/highdim_resource_external_seed42,,,14,1
