name,n,family,degree,degree_bucket,anf_terms,anf_bucket,onset_density,density_bucket,truth_table_hex,target_method,target_score,target_T,target_CNOT,direct_anf_score,direct_anf_score_delta_pct,esop_milp_score,esop_milp_score_delta_pct,sshr_h_score,sshr_h_score_delta_pct,abc_xag_score,abc_xag_score_delta_pct,caterpillar_api_score,caterpillar_api_score_delta_pct
truth_n4_3,4,random truth-table,4,degree >=4,11,ANF > 2n,0.687500,onset balanced,BDD6,and_pareto_resource_nmcts,30.985000,24.000000,48.000000,90.180000,-65.640940,39.350000,-21.257942,40.565000,-23.616418,86.185000,-64.048268,49.475000,-37.372410
truth_n4_30,4,random truth-table,3,degree 3,9,ANF > 2n,0.375000,onset balanced,8B81,and_pareto_resource_nmcts,15.540000,12.000000,24.000000,36.360000,-57.260726,19.795000,-21.495327,27.790000,-44.080605,50.505000,-69.230769,37.100000,-58.113208
truth_n4_31,4,random truth-table,4,degree >=4,10,ANF > 2n,0.562500,onset balanced,6B65,and_pareto_resource_nmcts,22.115000,16.000000,33.000000,90.075000,-75.448238,26.260000,-15.784463,35.995000,-38.560911,65.215000,-66.089090,55.290000,-60.001809
truth_n4_32,4,random truth-table,3,degree 3,8,ANF n..2n,0.500000,onset balanced,386E,and_pareto_resource_nmcts,20.045000,16.000000,32.000000,53.050000,-62.214892,24.275000,-17.425335,23.675000,-15.332629,67.405000,-70.261850,43.080000,-53.470288
truth_n4_33,4,random truth-table,3,degree 3,6,ANF n..2n,0.750000,onset balanced,72FF,and_pareto_resource_nmcts,15.435000,12.000000,22.000000,44.330000,-65.181593,19.655000,-21.470364,23.375000,-33.967914,37.985000,-59.365539,30.705000,-49.731314
truth_n4_34,4,random truth-table,4,degree >=4,5,ANF n..2n,0.562500,onset balanced,96DA,and_pareto_resource_nmcts,17.665000,12.000000,27.000000,47.810000,-63.051663,21.710000,-18.631967,48.335000,-63.452984,54.885000,-67.814521,36.700000,-51.866485
truth_n4_35,4,random truth-table,4,degree >=4,6,ANF n..2n,0.562500,onset balanced,4737,and_pareto_resource_nmcts,26.390000,20.000000,39.000000,56.385000,-53.196772,30.435000,-13.290619,35.765000,-26.212778,59.045000,-55.305276,30.705000,-14.053086
truth_n4_36,4,random truth-table,3,degree 3,9,ANF > 2n,0.625000,onset balanced,CF36,and_pareto_resource_nmcts,15.605000,12.000000,25.000000,48.840000,-68.048731,19.875000,-21.484277,28.315000,-44.887869,65.305000,-76.104433,37.205000,-58.056713
truth_n4_37,4,random truth-table,4,degree >=4,9,ANF > 2n,0.562500,onset balanced,DE8A,and_pareto_resource_nmcts,22.190000,16.000000,33.000000,106.765000,-79.216035,30.710000,-27.743406,35.915000,-38.215230,56.855000,-60.970891,61.375000,-63.845214
truth_n4_38,4,random truth-table,4,degree >=4,8,ANF n..2n,0.312500,onset balanced,1A9,and_pareto_resource_nmcts,22.000000,16.000000,32.000000,64.680000,-65.986395,26.195000,-16.014507,35.750000,-38.461538,50.595000,-56.517442,43.005000,-48.843158
