dataset,name,n,budget,cap_fraction,peak_cap,feasible,method,selected_policy,selected_k,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,lut_nodes,lut_edges,checkpoint_nodes,expanded_compute_calls,keep_peak_ancilla,keep_score,peak_reduction_vs_keep_pct,score_change_vs_keep_pct,official_ros_fully_reproduced
n14,anf_n14_2,14,minline,0.0,56.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,108046954592.0,202417781197.0,207200419339.0,99153464747.0,1.0,56.0,16.0,120243206889.43501,6746.0,10618.0,0.0,16795458646.0,6747.0,183364.325,99.17000148214021,65576018.413129166,False
n14,anf_n14_20,14,keep100,1.0,6712,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,151832.0,269999.0,273721.0,121889.0,6711.0,6712.0,6726.0,181380.665,6711.0,10564.0,6711.0,13422.0,6712.0,181380.665,0.0,0.0,False
n14,anf_n14_20,14,line75,0.75,5034,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,50390389424.0,89670814541.0,90919924281.0,40529534857.0,633.0,686.0,648.0,55746317590.424995,6711.0,10564.0,632.0,4457153950.0,6712.0,181380.665,89.77949940405244,30734332.24525888,False
n14,anf_n14_20,14,line50,0.5,3356,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,50390389424.0,89670814541.0,90919924281.0,40529534857.0,633.0,686.0,648.0,55746317590.424995,6711.0,10564.0,632.0,4457153950.0,6712.0,181380.665,89.77949940405244,30734332.24525888,False
n14,anf_n14_20,14,line25,0.25,1678,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,50390389424.0,89670814541.0,90919924281.0,40529534857.0,633.0,686.0,648.0,55746317590.424995,6711.0,10564.0,632.0,4457153950.0,6712.0,181380.665,89.77949940405244,30734332.24525888,False
n14,anf_n14_20,14,minline,0.0,56.0,True,external_ros_lut_garbage_budget_minline,zero_checkpoint,3,97660899864.0,184238573141.0,188596822107.0,90935922243.0,1.0,56.0,16.0,108768754455.67499,6711.0,10564.0,0.0,15762303774.0,6712.0,181380.665,99.16567342073897,59967016.37134807,False
n14,anf_n14_21,14,keep100,1.0,35,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,4,744.0,1361.0,1379.0,635.0,34.0,35.0,49.0,895.475,34.0,33.0,34.0,68.0,35.0,895.475,0.0,0.0,False
n14,anf_n14_21,14,line75,0.75,26,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,4,6640.0,12379.0,12637.0,5997.0,1.0,10.0,16.0,7404.685,34.0,33.0,0.0,738.0,35.0,895.475,71.42857142857143,726.9002484714816,False
n14,anf_n14_21,14,line50,0.5,17,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,4,6640.0,12379.0,12637.0,5997.0,1.0,10.0,16.0,7404.685,34.0,33.0,0.0,738.0,35.0,895.475,71.42857142857143,726.9002484714816,False
n14,anf_n14_21,14,minline,0.0,10.0,True,external_ros_lut_garbage_budget_minline,fanout_checkpoint,4,6640.0,12379.0,12637.0,5997.0,1.0,10.0,16.0,7404.685,34.0,33.0,0.0,738.0,35.0,895.475,71.42857142857143,726.9002484714816,False
n14,anf_n14_22,14,keep100,1.0,6197,True,external_ros_lut_garbage_budget_keep100,keep_all_bennett,3,139640.0,248259.0,251787.0,112147.0,6196.0,6197.0,6211.0,166862.635,6196.0,9653.0,6196.0,12392.0,6197.0,166862.635,0.0,0.0,False
n14,anf_n14_22,14,line75,0.75,4647,True,external_ros_lut_garbage_budget_line75,fanout_checkpoint,3,18693070568.0,33200828383.0,33724319771.0,15031249203.0,614.0,665.0,629.0,20677282321.914997,6196.0,9653.0,613.0,1677224552.0,6197.0,166862.635,89.26900112957883,12391698.991976244,False
n14,anf_n14_22,14,line50,0.5,3098,True,external_ros_lut_garbage_budget_line50,fanout_checkpoint,3,18693070568.0,33200828383.0,33724319771.0,15031249203.0,614.0,665.0,629.0,20677282321.914997,6196.0,9653.0,613.0,1677224552.0,6197.0,166862.635,89.26900112957883,12391698.991976244,False
n14,anf_n14_22,14,line25,0.25,1549,True,external_ros_lut_garbage_budget_line25,fanout_checkpoint,3,18693070568.0,33200828383.0,33724319771.0,15031249203.0,614.0,665.0,629.0,20677282321.914997,6196.0,9653.0,613.0,1677224552.0,6197.0,166862.635,89.26900112957883,12391698.991976244,False
