func_n,func_tt,teacher,objective,label_type,step,cand_idx,label,n,dim,size,log_size,cnot_cost,t_cost,objective_cost,control_count,is_singleton,support_bits,active_size,overlap,off_count,cover_ratio,off_ratio,monotone_valid,mono_removed,xor_next_size,mono_next_size,cost_per_overlap,cost_per_size,current_cost,opt_cost,teacher_time_s
5,24578,xor_beam,t,step_choice,0,383,1.0,5.0,2.0,4.0,2.0,18.0,16.0,16.0,3.0,0.0,4.0,3.0,3.0,1.0,0.75,0.25,0.0,3.0,1.0,0.0,5.333333333333333,4.0,0.0,48.0,0.0016
5,24578,xor_beam,t,step_choice,0,1053,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,12.0,12.0,0.0,48.0,0.0016
5,24578,xor_beam,t,step_choice,0,1054,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,12.0,12.0,0.0,48.0,0.0016
5,24578,xor_beam,t,step_choice,0,1336,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,12.0,12.0,0.0,48.0,0.0016
5,24578,xor_beam,t,step_choice,0,1508,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,0.0,48.0,0.0016
5,24578,xor_beam,t,step_choice,0,1520,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,0.0,48.0,0.0016
5,24578,xor_beam,t,step_choice,0,1521,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,0.0,48.0,0.0016
5,24578,xor_beam,t,step_choice,1,1509,1.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,16.0,48.0,0.0016
5,100942209,xor_beam,t,step_choice,0,356,1.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,7.0,4.0,0.0,1.0,0.0,1.0,4.0,3.0,3.0,4.0,4.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,710,0.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,7.0,3.0,1.0,0.75,0.25,0.0,3.0,5.0,4.0,5.333333333333333,4.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1423,0.0,5.0,1.0,2.0,1.0,10.0,24.0,24.0,4.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1365,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1035,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,937,0.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,7.0,3.0,1.0,0.75,0.25,0.0,3.0,5.0,4.0,5.333333333333333,4.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,355,0.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,7.0,3.0,1.0,0.75,0.25,0.0,3.0,5.0,4.0,5.333333333333333,4.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1247,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,788,0.0,5.0,2.0,4.0,2.0,18.0,16.0,16.0,3.0,0.0,4.0,7.0,3.0,1.0,0.75,0.25,0.0,3.0,5.0,4.0,5.333333333333333,4.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,893,0.0,5.0,2.0,4.0,2.0,18.0,16.0,16.0,3.0,0.0,4.0,7.0,3.0,1.0,0.75,0.25,0.0,3.0,5.0,4.0,5.333333333333333,4.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1018,0.0,5.0,1.0,2.0,1.0,10.0,24.0,24.0,4.0,0.0,1.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1521,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,6.0,32.0,32.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1017,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1213,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1486,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1207,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1248,0.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1364,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,736,0.0,5.0,2.0,4.0,2.0,18.0,16.0,16.0,3.0,0.0,4.0,7.0,3.0,1.0,0.75,0.25,0.0,3.0,5.0,4.0,5.333333333333333,4.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1217,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,0,1225,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,7.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,5.0,12.0,12.0,0.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,1,1213,1.0,5.0,1.0,2.0,1.0,12.0,24.0,24.0,4.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,12.0,12.0,16.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,1,1224,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,12.0,12.0,16.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,1,1364,0.0,5.0,1.0,2.0,1.0,16.0,24.0,24.0,4.0,0.0,4.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,12.0,12.0,16.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,1,1514,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,16.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,1,1521,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,16.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,1,1532,0.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,32.0,32.0,16.0,72.0,0.0247
5,100942209,xor_beam,t,step_choice,2,1532,1.0,5.0,0.0,1.0,0.0,14.0,32.0,32.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,32.0,32.0,40.0,72.0,0.0247
5,150996304,xor_beam,t,step_choice,0,591,1.0,5.0,2.0,4.0,2.0,16.0,16.0,16.0,3.0,0.0,3.0,6.0,4.0,0.0,1.0,0.0,1.0,4.0,2.0,2.0,4.0,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,600,0.0,5.0,2.0,4.0,2.0,20.0,16.0,16.0,3.0,0.0,5.0,6.0,3.0,1.0,0.75,0.25,0.0,3.0,4.0,3.0,5.333333333333333,4.0,0.0,40.0,0.0092
5,150996304,xor_beam,t,step_choice,0,1183,0.0,5.0,1.0,2.0,1.0,14.0,24.0,24.0,4.0,0.0,3.0,6.0,2.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,12.0,12.0,0.0,40.0,0.0092
