name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,constant_term_global_phase,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex
truth_n4_40,4,phase_parity_anf,7,24,36,36,0,0,4,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,8.86,0.00012993812561035156,7,0,12,12,5,7,0,4,7,1,True,phase oracle verified up to global phase,,,CE4A
truth_n4_41,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00015997886657714844,6,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,28DF
truth_n4_42,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00015878677368164062,11,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,B2B9
truth_n4_43,4,phase_parity_anf,8,18,29,29,0,0,4,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,0.00010967254638671875,6,0,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,6C30
truth_n4_44,4,phase_parity_anf,8,28,42,42,0,0,4,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,10.170000000000002,0.0001430511474609375,10,0,14,14,6,8,0,4,8,1,True,phase oracle verified up to global phase,,,571A
truth_n4_45,4,phase_parity_anf,7,14,23,23,0,0,4,8.135,8.135,8.135,8.135,8.135,8.135,8.135,8.135,8.135,8.135,0.0001609325408935547,6,0,9,9,2,7,0,4,7,1,True,phase oracle verified up to global phase,,,4722
truth_n4_46,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001659393310546875,10,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,27CD
truth_n4_47,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001361370086669922,10,0,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,371E
truth_n4_48,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.00015997886657714844,13,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,F50B
truth_n4_49,4,phase_parity_anf,8,18,29,29,0,0,4,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,9.445,0.00010585784912109375,7,0,11,11,3,8,0,4,8,1,True,phase oracle verified up to global phase,,,C374
truth_n4_5,4,phase_parity_anf,0,34,49,49,0,0,4,2.585,2.585,17.585,25.085,32.585,62.585,152.585,463.83500000000004,925.085,1540.0849999999998,0.0001327991485595703,8,1,15,15,0,0,15,8,15,0,True,phase oracle verified up to global phase,,,3EB1
