row_type,budget,method,difficulty_slice,pairs,no_prior_score_min,no_prior_score_max,score_wins,score_losses,score_ties,mean_score_relative,T_wins,T_losses,T_ties,mean_T_relative,mean_time_relative,status
method_slice,top24_s24_n32,and_pareto_resource_nmcts,middle,59,22.520000000000003,53.395,13,0,46,-0.012531531437663545,5,0,54,-0.012557781201848998,0.2285761812953153,pass
method_slice,top24_s24_n32,and_pareto_resource_nmcts,hard,59,53.43,141.73999999999998,6,0,53,-0.006618987736973888,3,0,56,-0.0061633281972265025,0.10628113486662347,pass
aggregate_slice,top8_s8_n12,all_methods,easy,177,0.19499999999999998,24.805,33,0,144,-0.0040896995254365775,3,0,174,-0.00423728813559322,0.2538103626753751,pass
aggregate_slice,top8_s8_n12,all_methods,middle,177,22.520000000000003,54.245,53,0,124,-0.018706993099856278,26,0,151,-0.020389936491631407,0.24532079904654677,pass
aggregate_slice,top8_s8_n12,all_methods,hard,177,53.43,175.51500000000001,23,0,154,-0.008428727515910263,14,0,163,-0.0077601306414865736,0.17045835003671855,pass
aggregate_slice,top12_s12_n16,all_methods,easy,177,0.19499999999999998,24.805,33,0,144,-0.0040896995254365775,3,0,174,-0.00423728813559322,0.29167132100626053,pass
aggregate_slice,top12_s12_n16,all_methods,middle,177,22.520000000000003,54.245,53,0,124,-0.018706993099856278,26,0,151,-0.020389936491631407,0.29681176527563585,pass
aggregate_slice,top12_s12_n16,all_methods,hard,177,53.43,175.51500000000001,23,0,154,-0.008428727515910263,14,0,163,-0.0077601306414865736,0.1949767737714882,pass
aggregate_slice,top24_s24_n32,all_methods,easy,177,0.19499999999999998,24.25,31,0,146,-0.004239394269539476,3,0,174,-0.00423728813559322,0.7370898905097956,pass
aggregate_slice,top24_s24_n32,all_methods,middle,177,22.520000000000003,53.895,53,0,124,-0.01953577634570254,27,0,150,-0.021739998858642928,0.5515530351884843,pass
aggregate_slice,top24_s24_n32,all_methods,hard,177,53.43,175.51500000000001,26,0,151,-0.009650215638142763,18,0,159,-0.009461630648071326,0.3623463249981323,pass
