name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,screen_depth1,175.21,156,258,258,102,2,24,234,70,0,0,0.002734333000262268,0.00786304199573351,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,screen_depth2,175.21,156,258,258,102,2,24,234,70,0,0,0.0024692079969099723,0.007441000001563225,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,screen_depth3,175.21,156,258,258,102,2,24,234,70,0,0,0.002454165995004587,0.007720499997958541,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,screen_depth4,175.21,156,258,258,102,2,24,234,70,0,0,0.00258770800428465,0.0075414579987409525,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,214.8364055839993,screen_single,175.21,156,258,258,102,2,24,234,70,0,0,0.0026401670038467273,0.007795875004376285,True,True,1,0,True,24,24,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,adaptive_all_depth,870.14,784,1292,1292,508,5,114,982,365,1,38,7.144275373997516,0.035584999997809064,True,True,11,0,True,116,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,depth2_guard_direct,891.63,804,1318,1318,514,5,110,1006,372,1,26,0.4156630409997888,0.035287624996271916,True,True,7,0,True,112,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,depth_frontier_policy,870.14,784,1292,1292,508,5,114,982,365,1,38,4.985550957993837,0.035584999997809064,True,True,11,0,True,116,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,depth_policy,891.63,804,1318,1318,514,5,110,1006,372,1,26,0.4156630409997888,0.035287624996271916,True,True,7,0,True,112,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,direct_logical_and,1033.31,936,1518,1518,582,4,114,1156,434,0,0,7.417002052534372e-06,0.04107108300377149,True,True,1,0,True,114,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,screen_depth1,913.315,824,1347,1347,523,5,109,1036,381,1,19,0.08566712500032736,0.03615949999948498,True,True,5,0,True,111,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,screen_depth2,891.63,804,1318,1318,514,5,110,1006,372,1,26,0.4156630409997888,0.035287624996271916,True,True,7,0,True,112,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,screen_depth3,874.295,788,1295,1295,507,5,111,984,366,1,33,1.643422749999445,0.03542083299544174,True,True,9,0,True,113,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,screen_depth4,870.14,784,1292,1292,508,5,114,982,365,1,38,4.985550957993837,0.035584999997809064,True,True,11,0,True,116,114,0
truth_bridge_n23_005_mixed,23,mixed,114,206.08059070900345,screen_single,961.23,868,1414,1414,546,5,111,1087,402,1,10,0.013971500004117843,0.03930441699776566,True,True,3,0,True,112,114,0
