CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex,variant
23,12,4,True,25,0,13,and_affine_nmcts,4,5,truth_n4_51,1,15.425,,3,0.16894102096557617,1A2A,learned_prior
24,12,10,True,31,0,19,and_affine_nmcts,4,5,truth_n4_50,1,15.615,,5,0.19876909255981445,562B,learned_prior
24,12,10,True,31,0,19,and_resource_nmcts,4,5,truth_n4_50,1,15.615,,5,0.20055603981018066,562B,learned_prior
23,12,4,True,25,0,13,and_resource_nmcts,4,5,truth_n4_51,1,15.425,,3,0.16454195976257324,1A2A,learned_prior
26,12,13,True,35,1,21,and_affine_nmcts,4,6,truth_n4_48,2,17.775,,5,0.5364861488342285,F50B,learned_prior
26,12,13,True,35,1,21,and_resource_nmcts,4,6,truth_n4_48,2,17.775,,5,0.5868949890136719,F50B,learned_prior
29,12,8,True,31,0,19,and_affine_nmcts,4,5,truth_n4_55,1,15.815,,5,0.10707592964172363,5BE6,learned_prior
29,12,8,True,31,0,19,and_resource_nmcts,4,5,truth_n4_55,1,15.815,,5,0.12480592727661133,5BE6,learned_prior
24,12,7,True,28,0,16,and_affine_nmcts,4,5,truth_n4_56,1,15.540000000000001,,4,0.08729219436645508,D8F5,learned_prior
24,12,7,True,28,0,16,and_resource_nmcts,4,5,truth_n4_56,1,15.540000000000001,,4,0.08991384506225586,D8F5,learned_prior
24,12,8,True,26,0,14,and_affine_nmcts,4,5,truth_n4_57,1,15.490000000000002,,4,0.0911719799041748,580D,learned_prior
24,12,8,True,26,0,14,and_resource_nmcts,4,5,truth_n4_57,1,15.490000000000002,,4,0.09115195274353027,580D,learned_prior
45,20,10,True,51,1,29,and_affine_nmcts,4,6,truth_n4_53,2,26.855,,5,0.49106502532958984,6142,learned_prior
40,16,9,True,45,1,25,and_affine_nmcts,4,6,truth_n4_58,1,20.525000000000002,,7,0.24437713623046875,9A8D,learned_prior
40,16,9,True,45,1,25,and_resource_nmcts,4,6,truth_n4_58,1,20.525000000000002,,7,0.2507638931274414,9A8D,learned_prior
45,20,10,True,51,1,29,and_resource_nmcts,4,6,truth_n4_53,2,26.855,,5,0.5223388671875,6142,learned_prior
44,20,8,True,49,1,27,and_affine_nmcts,4,6,truth_n4_54,2,26.765,,9,0.5561919212341309,18C2,learned_prior
44,20,8,True,49,1,27,and_resource_nmcts,4,6,truth_n4_54,2,26.765,,9,0.565892219543457,18C2,learned_prior
31,12,8,True,34,1,20,and_affine_nmcts,4,6,truth_n4_61,1,15.95,,4,0.21146202087402344,B1F,learned_prior
31,12,8,True,34,1,20,and_resource_nmcts,4,6,truth_n4_61,1,15.95,,4,0.23581171035766602,B1F,learned_prior
34,16,9,True,39,1,21,and_affine_nmcts,4,6,truth_n4_60,2,22.155,,5,0.397197961807251,CE9F,learned_prior
34,16,9,True,39,1,21,and_resource_nmcts,4,6,truth_n4_60,2,22.155,,5,0.4267740249633789,CE9F,learned_prior
39,20,8,True,44,1,22,and_affine_nmcts,4,6,truth_n4_59,2,26.439999999999998,,6,0.6035189628601074,43B7,learned_prior
39,20,8,True,44,1,22,and_resource_nmcts,4,6,truth_n4_59,2,26.439999999999998,,6,0.6126289367675781,43B7,learned_prior
32,16,7,True,35,1,17,and_affine_nmcts,4,6,truth_n4_62,2,21.975,,5,0.45449399948120117,BACF,learned_prior
32,16,7,True,35,1,17,and_resource_nmcts,4,6,truth_n4_62,2,21.975,,5,0.46054697036743164,BACF,learned_prior
39,16,8,True,46,1,28,and_affine_nmcts,4,6,truth_n4_63,2,22.53,,6,0.5007410049438477,759C,learned_prior
39,16,8,True,46,1,28,and_resource_nmcts,4,6,truth_n4_63,2,22.53,,6,0.5057289600372314,759C,learned_prior
82,40,15,True,88,1,42,and_affine_nmcts,5,7,truth_n5_0,2,49.02,,11,2.394752025604248,89463E85,learned_prior
82,40,15,True,88,1,42,and_resource_nmcts,5,7,truth_n5_0,2,49.02,,11,2.4962761402130127,89463E85,learned_prior
93,40,12,True,93,1,45,and_affine_nmcts,5,7,truth_n5_1,2,49.565000000000005,,10,3.336430788040161,1FF49B78,learned_prior
93,40,12,True,93,1,45,and_resource_nmcts,5,7,truth_n5_1,2,49.565000000000005,,10,3.4701812267303467,1FF49B78,learned_prior
101,48,19,True,103,1,47,and_affine_nmcts,5,7,truth_n5_3,2,58.055,,12,3.872974157333374,EC1B8CA1,learned_prior
101,48,19,True,103,1,47,and_resource_nmcts,5,7,truth_n5_3,2,58.055,,12,3.9993479251861572,EC1B8CA1,learned_prior
126,56,17,True,131,1,65,and_affine_nmcts,5,7,truth_n5_2,2,67.655,,16,4.390241622924805,F91E1D4C,learned_prior
126,56,17,True,131,1,65,and_resource_nmcts,5,7,truth_n5_2,2,67.655,,16,4.498373985290527,F91E1D4C,learned_prior
106,52,18,True,110,1,52,and_affine_nmcts,5,7,truth_n5_4,2,62.410000000000004,,14,3.8608458042144775,60E7A113,learned_prior
106,52,18,True,110,1,52,and_resource_nmcts,5,7,truth_n5_4,2,62.410000000000004,,14,4.004039764404297,60E7A113,learned_prior
89,40,14,True,95,1,49,and_affine_nmcts,5,7,truth_n5_5,2,49.475,,10,3.2788989543914795,142C3FE8,learned_prior
85,36,21,True,96,1,52,and_affine_nmcts,5,7,truth_n5_6,2,45.36,,9,2.7876267433166504,8D5288F1,learned_prior
85,36,21,True,96,1,52,and_resource_nmcts,5,7,truth_n5_6,2,45.36,,9,2.9274871349334717,8D5288F1,learned_prior
89,40,14,True,95,1,49,and_resource_nmcts,5,7,truth_n5_5,2,49.475,,10,3.4471349716186523,142C3FE8,learned_prior
80,40,14,True,83,1,37,and_affine_nmcts,5,7,truth_n5_7,2,48.815,,10,3.2413997650146484,4B0DBB41,learned_prior
67,32,15,True,78,1,44,and_affine_nmcts,5,7,truth_n5_9,2,40.29,,8,2.1662421226501465,A0EE89AE,learned_prior
80,40,14,True,83,1,37,and_resource_nmcts,5,7,truth_n5_7,2,48.815,,10,3.3021159172058105,4B0DBB41,learned_prior
67,32,15,True,78,1,44,and_resource_nmcts,5,7,truth_n5_9,2,40.29,,8,2.294124126434326,A0EE89AE,learned_prior
90,44,21,True,98,1,48,and_affine_nmcts,5,7,truth_n5_8,2,53.55,,11,4.728149175643921,D453DD32,learned_prior
78,40,15,True,85,1,41,and_affine_nmcts,5,7,truth_n5_10,2,48.80499999999999,,11,2.283111095428467,9E574F7A,learned_prior
78,40,15,True,85,1,41,and_resource_nmcts,5,7,truth_n5_10,2,48.80499999999999,,11,2.3169679641723633,9E574F7A,learned_prior
90,44,21,True,98,1,48,and_resource_nmcts,5,7,truth_n5_8,2,53.55,,11,4.875101804733276,D453DD32,learned_prior
