dataset,method,baseline,metric,items,wins,losses,ties,mean_relative
schedule_truth_bridge,depth_frontier_policy,screen_depth2,schedule_logical_depth,12,5,2,5,0.00015229016774113104
schedule_truth_bridge,depth_frontier_policy,screen_depth2,schedule_cnot_depth_proxy,12,8,0,4,-0.032571076125723485
schedule_truth_bridge,depth_frontier_policy,screen_depth2,schedule_t_depth_proxy,12,8,0,4,-0.03315453712566469
schedule_truth_bridge,depth_frontier_policy,screen_depth2,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,depth_frontier_policy,screen_depth2,explicit_ancilla_lifetime_area,12,0,8,4,0.32925933827468357
schedule_truth_bridge,depth_frontier_policy,screen_depth2,peak_ancilla,12,0,0,12,0.0
schedule_truth_bridge,depth_frontier_policy,screen_depth4,score,12,0,2,10,0.0032395062941104856
schedule_truth_bridge,depth_frontier_policy,screen_depth4,schedule_logical_depth,12,2,0,10,-0.0072717231222385855
schedule_truth_bridge,depth_frontier_policy,screen_depth4,schedule_cnot_depth_proxy,12,0,2,10,0.0036000490816186417
schedule_truth_bridge,depth_frontier_policy,screen_depth4,schedule_t_depth_proxy,12,0,2,10,0.003245342458312965
schedule_truth_bridge,depth_frontier_policy,screen_depth4,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,depth_frontier_policy,screen_depth4,explicit_ancilla_lifetime_area,12,2,0,10,-0.04014844804318489
schedule_truth_bridge,depth_frontier_policy,screen_depth4,peak_ancilla,12,0,0,12,0.0
schedule_truth_bridge,depth_policy,screen_depth2,score,12,0,1,11,0.0023958936015547375
schedule_truth_bridge,depth_policy,screen_depth2,schedule_logical_depth,12,1,0,11,-0.005376344086021505
schedule_truth_bridge,depth_policy,screen_depth2,schedule_cnot_depth_proxy,12,0,1,11,0.002152521525215252
schedule_truth_bridge,depth_policy,screen_depth2,schedule_t_depth_proxy,12,0,1,11,0.002204585537918871
schedule_truth_bridge,depth_policy,screen_depth2,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,depth_policy,screen_depth2,explicit_ancilla_lifetime_area,12,1,0,11,-0.027777777777777776
schedule_truth_bridge,depth_policy,screen_depth2,peak_ancilla,12,0,0,12,0.0
schedule_truth_bridge,screen_depth3,screen_depth2,score,12,10,0,2,-0.02330966381673314
schedule_truth_bridge,screen_depth3,screen_depth2,schedule_logical_depth,12,4,4,4,0.005528107411458269
schedule_truth_bridge,screen_depth3,screen_depth2,schedule_cnot_depth_proxy,12,10,0,2,-0.021776157567850847
schedule_truth_bridge,screen_depth3,screen_depth2,schedule_t_depth_proxy,12,10,0,2,-0.022626571736783393
schedule_truth_bridge,screen_depth3,screen_depth2,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,screen_depth3,screen_depth2,explicit_ancilla_lifetime_area,12,0,10,2,0.22021838869664956
schedule_truth_bridge,screen_depth3,screen_depth2,peak_ancilla,12,0,0,12,0.0
schedule_truth_bridge,screen_depth4,screen_depth2,score,12,10,0,2,-0.038121379710518634
schedule_truth_bridge,screen_depth4,screen_depth2,schedule_logical_depth,12,5,4,3,0.007767695428073928
schedule_truth_bridge,screen_depth4,screen_depth2,schedule_cnot_depth_proxy,12,10,0,2,-0.036081441817783666
schedule_truth_bridge,screen_depth4,screen_depth2,schedule_t_depth_proxy,12,10,0,2,-0.036326815279375424
schedule_truth_bridge,screen_depth4,screen_depth2,explicit_ancilla_live_peak,12,0,0,12,0.0
schedule_truth_bridge,screen_depth4,screen_depth2,explicit_ancilla_lifetime_area,12,0,10,2,0.383051225399904
schedule_truth_bridge,screen_depth4,screen_depth2,peak_ancilla,12,0,0,12,0.0
