portfolio,lambda_rz_score,items,wins,losses,ties,mean_relative,mean_selected_score,mean_revkit_score,median_break_even,mean_break_even,covered_by_lambda,impossible_rows,mean_selected_time_s,mean_run_all_time_s,winner_counts
traditional_baseline_family,0.25,177,8,169,0,2.180776414629155,67.45666666666666,18.843050847457626,1.050551181102362,1.068179300201165,8,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
traditional_baseline_family,0.5,177,9,168,0,0.9101830496776225,67.45666666666666,31.89672316384181,1.050551181102362,1.068179300201165,9,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
traditional_baseline_family,0.75,177,15,162,0,0.3737027513069229,67.45666666666666,44.950395480225986,1.050551181102362,1.068179300201165,15,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
traditional_baseline_family,1,177,80,97,0,0.07583601527757092,67.45666666666666,58.00406779661017,1.050551181102362,1.068179300201165,80,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
traditional_baseline_family,1.5,177,160,17,0,-0.24592559595297853,67.45666666666666,84.11141242937853,1.050551181102362,1.068179300201165,160,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
traditional_baseline_family,2,177,176,1,0,-0.4170713557039451,67.45666666666666,110.21875706214689,1.050551181102362,1.068179300201165,176,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
traditional_baseline_family,4,177,177,0,0,-0.6885031002612061,67.45666666666666,214.64813559322033,1.050551181102362,1.068179300201165,177,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
traditional_baseline_family,10,177,177,0,0,-0.8608666697856966,67.45666666666666,527.9362711864406,1.050551181102362,1.068179300201165,177,0,1.4451448701869296,3.833927989679541,and_esop_milp:90;and_cube_beam:52;sshr_h:29;and_direct_anf:5;direct_anf:1
all_internal_score_portfolio,0,177,6,171,0,7.110395604243333,49.527966101694915,5.789378531073447,0.7993333333333332,0.7774640023061382,6,0,1.982000655373611,9.975403539205002,and_affine_nmcts:93;and_fprm_polarity_archive:44;and_pareto_resource_nmcts:30;sshr_h:4;and_esop_milp:3;and_cube_beam:2;direct_anf:1
all_internal_score_portfolio,0.25,177,8,169,0,1.4073661694259254,49.527966101694915,18.843050847457626,0.7993333333333332,0.7774640023061382,8,0,1.982000655373611,9.975403539205002,and_affine_nmcts:93;and_fprm_polarity_archive:44;and_pareto_resource_nmcts:30;sshr_h:4;and_esop_milp:3;and_cube_beam:2;direct_anf:1
all_internal_score_portfolio,0.5,177,16,161,0,0.4504822921486917,49.527966101694915,31.89672316384181,0.7993333333333332,0.7774640023061382,16,0,1.982000655373611,9.975403539205002,and_affine_nmcts:93;and_fprm_polarity_archive:44;and_pareto_resource_nmcts:30;sshr_h:4;and_esop_milp:3;and_cube_beam:2;direct_anf:1
all_internal_score_portfolio,0.75,177,66,111,0,0.045526411837136974,49.527966101694915,44.950395480225986,0.7993333333333332,0.7774640023061382,66,0,1.982000655373611,9.975403539205002,and_affine_nmcts:93;and_fprm_polarity_archive:44;and_pareto_resource_nmcts:30;sshr_h:4;and_esop_milp:3;and_cube_beam:2;direct_anf:1
all_internal_score_portfolio,1,177,157,20,0,-0.17962793394213997,49.527966101694915,58.00406779661017,0.7993333333333332,0.7774640023061382,157,0,1.982000655373611,9.975403539205002,and_affine_nmcts:93;and_fprm_polarity_archive:44;and_pareto_resource_nmcts:30;sshr_h:4;and_esop_milp:3;and_cube_beam:2;direct_anf:1
all_internal_score_portfolio,1.5,177,177,0,0,-0.42313684890584286,49.527966101694915,84.11141242937853,0.7993333333333332,0.7774640023061382,177,0,1.982000655373611,9.975403539205002,and_affine_nmcts:93;and_fprm_polarity_archive:44;and_pareto_resource_nmcts:30;sshr_h:4;and_esop_milp:3;and_cube_beam:2;direct_anf:1
all_internal_score_portfolio,2,177,177,0,0,-0.5527972477404115,49.527966101694915,110.21875706214689,0.7993333333333332,0.7774640023061382,177,0,1.982000655373611,9.975403539205002,and_affine_nmcts:93;and_fprm_polarity_archive:44;and_pareto_resource_nmcts:30;sshr_h:4;and_esop_milp:3;and_cube_beam:2;direct_anf:1
