correct,functions,mean_depth,mean_peak_ancilla,mean_score,mean_time_s,method,n,total_CNOT,total_T
5,5,33.8,1.0,21.605,0.09693260192871093,and_rc_nmcts,4,169,88
3,3,89.0,1.3333333333333333,49.12500000000001,2.6085307598114014,and_rc_nmcts,5,254,124
6,6,109.83333333333333,1.5,62.74916666666667,9.452394048372904,and_rc_nmcts,6,646,320
3,3,332.3333333333333,2.0,187.42166666666665,77.06866892178853,and_rc_nmcts,7,982,492
9,9,286.8888888888889,2.0,180.83666666666667,28.91898822784424,and_rc_nmcts,8,2561,1440
1,1,232.0,2.0,141.73999999999998,6.85750675201416,and_rc_nmcts,11,232,124
3,3,46.0,1.0,46.989999999999995,0.00010530153910319011,cube_beam,3,114,128
5,5,51.8,0.8,76.963,0.0009996414184570313,cube_beam,4,204,364
3,3,189.0,2.0,297.075,0.008438984553019205,cube_beam,5,423,852
6,6,264.8333333333333,1.6666666666666667,439.4525,0.037653446197509766,cube_beam,6,1205,2540
3,3,806.6666666666666,3.0,1759.5266666666666,0.0690922737121582,cube_beam,7,2365,5128
9,9,730.3333333333334,2.111111111111111,1541.4994444444444,0.27200685607062447,cube_beam,8,6410,13476
1,1,2799.0,5.0,5882.455,10.580584049224854,cube_beam,11,2721,5720
3,3,46.0,1.0,46.989999999999995,5.904833475748698e-05,cube_greedy,3,114,128
5,5,51.6,0.8,84.88,0.0003643512725830078,cube_greedy,4,191,404
3,3,186.66666666666666,2.0,306.17,0.001353899637858073,cube_greedy,5,407,880
6,6,279.0,1.6666666666666667,465.5083333333333,0.00453492005666097,cube_greedy,6,1279,2692
3,3,806.6666666666666,3.0,1759.5266666666666,0.03582302729288737,cube_greedy,7,2365,5128
9,9,731.6666666666666,2.2222222222222223,1558.6383333333333,0.05656205283270942,cube_greedy,8,6410,13628
1,1,2799.0,5.0,5882.455,3.5193939208984375,cube_greedy,11,2721,5720
3,3,13.0,0.0,8.745,1.804033915201823e-05,direct_anf,3,39,24
5,5,32.4,0.6,39.024,2.841949462890625e-05,direct_anf,4,162,180
3,3,101.66666666666667,0.6666666666666666,153.70833333333334,4.42663828531901e-05,direct_anf,5,305,440
6,6,128.16666666666666,0.8333333333333334,223.5091666666667,8.789698282877605e-05,direct_anf,6,769,1288
3,3,406.3333333333333,1.3333333333333333,788.0583333333334,0.00019176801045735678,direct_anf,7,1219,2288
9,9,303.0,1.3333333333333333,671.1394444444444,0.00024660428365071613,direct_anf,8,2727,5864
1,1,285.0,1.0,425.94499999999994,0.002074003219604492,direct_anf,11,285,408
3,3,13.0,0.0,8.745,0.00016641616821289062,fprm_greedy,3,39,24
5,5,33.8,1.0,27.063000000000002,0.0019476890563964843,fprm_greedy,4,160,116
3,3,94.66666666666667,1.3333333333333333,87.85333333333334,0.018032073974609375,fprm_greedy,5,269,240
6,6,118.16666666666667,1.5,124.89416666666665,0.05218390623728434,fprm_greedy,6,696,692
3,3,359.3333333333333,2.0,430.63,0.25420554478963214,fprm_greedy,7,1063,1220
9,9,315.0,1.6666666666666667,352.005,0.32507072554694283,fprm_greedy,8,2814,2980
1,1,257.0,2.0,242.465,0.11574316024780273,fprm_greedy,11,257,224
3,3,13.0,0.0,8.745,0.00045172373453776043,fprm_mcts,3,39,24
5,5,33.8,1.0,27.063000000000002,0.03408899307250977,fprm_mcts,4,160,116
3,3,94.66666666666667,1.3333333333333333,87.85333333333334,0.5498066743214926,fprm_mcts,5,269,240
6,6,114.16666666666667,1.5,116.68750000000001,3.1615763505299888,fprm_mcts,6,672,644
3,3,334.0,1.6666666666666667,372.5966666666667,25.579424381256104,fprm_mcts,7,987,1052
9,9,300.1111111111111,1.7777777777777777,314.5438888888889,20.41723969247606,fprm_mcts,8,2680,2648
1,1,221.0,2.0,176.505,2.4269649982452393,fprm_mcts,11,221,160
3,3,13.0,0.0,8.745,2.0583470662434895e-05,greedy_factor,3,39,24
5,5,33.0,1.0,27.873,0.0001244068145751953,greedy_factor,4,165,120
3,3,109.0,1.3333333333333333,102.15166666666666,0.0005483627319335938,greedy_factor,5,327,280
6,6,144.0,1.5,145.09333333333333,0.001332998275756836,greedy_factor,6,864,804
3,3,461.0,2.0,496.49833333333333,0.006246725718180339,greedy_factor,7,1383,1400
9,9,359.55555555555554,1.7777777777777777,442.8100000000001,0.009103218714396158,greedy_factor,8,3236,3772
1,1,257.0,2.0,242.465,0.0031328201293945312,greedy_factor,11,257,224
3,3,13.0,0.0,8.745,4.394849141438802e-05,mcts_factor,3,39,24
5,5,33.0,1.0,27.873,0.002207326889038086,mcts_factor,4,165,120
3,3,109.0,1.3333333333333333,102.15166666666666,0.052034616470336914,mcts_factor,5,327,280
6,6,139.83333333333334,1.5,138.20416666666668,0.29647620519002277,mcts_factor,6,839,764
3,3,425.3333333333333,1.6666666666666667,416.61,3.078181584676107,mcts_factor,7,1276,1168
9,9,360.22222222222223,1.7777777777777777,408.64,1.5139978461795383,mcts_factor,8,3242,3464
1,1,221.0,2.0,176.505,0.2765848636627197,mcts_factor,11,221,160
3,3,13.0,0.0,8.745,5.221366882324219e-05,neural_mcts,3,39,24
5,5,33.0,1.0,27.873,0.003365898132324219,neural_mcts,4,165,120
3,3,109.0,1.3333333333333333,102.15166666666666,0.08463835716247559,neural_mcts,5,327,280
6,6,139.83333333333334,1.5,138.20416666666668,0.5159196058909098,neural_mcts,6,839,764
3,3,445.6666666666667,1.3333333333333333,450.395,6.536922375361125,neural_mcts,7,1337,1268
9,9,354.44444444444446,1.7777777777777777,422.12000000000006,16.431927098168266,neural_mcts,8,3190,3588
1,1,221.0,2.0,176.505,0.3723289966583252,neural_mcts,11,221,160
3,3,14.0,0.0,6.123333333333334,7.534027099609375e-05,sshr_h,3,38,16
5,5,38.2,0.8,33.245,0.0018707275390625,sshr_h,4,165,148
3,3,101.66666666666667,1.0,87.13166666666666,0.017863670984903973,sshr_h,5,236,240
6,6,109.5,1.3333333333333333,111.71916666666667,0.22677087783813477,sshr_h,6,537,620
