dataset,name,n,selected_k,policy,correct,lut_nodes,lut_edges,max_fanin,checkpoint_nodes,expanded_compute_calls,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,delta_T_vs_keep_all,delta_peak_ancilla_vs_keep_all,delta_score_vs_keep_all,source_manifest,abc_script,abc_binary,error
n14,anf_n14_18,14,3,fanout_checkpoint,True,6765,10593,3,665,77217955420,862553414232,1534705950847,1559549946115,696996531883,666,732,681,954304868240.434937,862553261320,-6034,954304685534.759888,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_18,14,3,zero_checkpoint,True,6765,10593,3,0,249099364526,1566415240848,2947161553037,3021709089579,1455293848731,1,68,16,1744180277936.475098,1566415087936,-6698,1744180095230.800049,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_19,14,3,keep_all_bennett,True,4028,5837,3,4028,8056,92040,163381,165611,73571,4028,4029,4043,109853.115000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_19,14,3,fanout_checkpoint,True,4028,5837,3,409,125849208,1431867160,2533913943,2566203579,1134336419,410,452,425,1583061039.595000,1431775120,-3577,1582951186.480000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_19,14,3,zero_checkpoint,True,4028,5837,3,0,357851438,2392593840,4462282243,4556178829,2163584989,1,44,16,2661063750.045000,2392501800,-3985,2660953896.930000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_2,14,3,keep_all_bennett,True,6746,10618,3,6746,13492,153544,273301,277189,123645,6746,6747,6761,183364.325000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_2,14,3,fanout_checkpoint,True,6746,10618,3,654,5272008370,58771665096,104394276629,106064868947,47293203851,655,708,670,65011342649.875008,58771511552,-6039,65011159285.550011,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_2,14,3,zero_checkpoint,True,6746,10618,3,0,16795458646,108046954592,202417781197,207200419339,99153464747,1,56,16,120243206889.435013,108046801048,-6691,120243023525.110016,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_20,14,3,keep_all_bennett,True,6711,10564,3,6711,13422,151832,269999,273721,121889,6711,6712,6726,181380.665000,0,0,0.000000,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
n14,anf_n14_20,14,3,fanout_checkpoint,True,6711,10564,3,632,4457153950,50390389424,89670814541,90919924281,40529534857,633,686,648,55746317590.424995,50390237592,-6026,55746136209.759995,benchmark_exports/highdim_resource_external_seed42,strash; if -K 3,/Users/zhouzixiang/Desktop/tzb/src/tmp/abc/abc,
