CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,profile,profile_label,score,skipped,terms,time_s,truth_table_hex
21,28,7,True,29,,0,15,sshr_h,4,5,sweep_truth_n4_10,1,t_heavy,T-heavy,29.535,,7,0.0003249645233154297,AD3C
57,32,9,True,57,,0,25,and_direct_anf,4,5,sweep_truth_n4_11,1,t_heavy,T-heavy,34.26499999999999,,9,6.604194641113281e-05,BD9C
41,20,10,True,45,,1,23,and_affine_nmcts,4,6,sweep_truth_n4_9,1,t_heavy,T-heavy,21.955,,5,0.328732967376709,1A3D
49,24,9,True,49,,1,23,and_mcts_factor,4,6,sweep_truth_n4_11,1,t_heavy,T-heavy,26.095,,9,0.0043027400970458984,BD9C
41,24,9,True,55,,0,31,and_cube_beam,4,5,sweep_truth_n4_11,1,t_heavy,T-heavy,26.044999999999998,,9,0.002655029296875,BD9C
31,24,9,True,41,,0,18,sshr_h,4,5,sweep_truth_n4_11,1,t_heavy,T-heavy,25.759999999999998,,9,0.0003662109375,BD9C
115,68,13,True,115,,0,47,and_direct_anf,5,6,sweep_truth_n5_0,2,t_heavy,T-heavy,72.535,,13,8.678436279296875e-05,E465E150
36,16,8,True,38,,1,20,and_affine_nmcts,4,6,sweep_truth_n4_5,2,t_heavy,T-heavy,18.830000000000002,,6,0.5391261577606201,3EB1
49,24,12,True,54,,1,28,and_affine_nmcts,4,6,sweep_truth_n4_2,2,t_heavy,T-heavy,27.145,,8,0.6775391101837158,667
66,40,13,True,80,,0,40,and_cube_beam,5,6,sweep_truth_n5_0,2,t_heavy,T-heavy,43.59,,13,0.01680779457092285,E465E150
93,48,13,True,93,,1,41,and_mcts_factor,5,7,sweep_truth_n5_0,2,t_heavy,T-heavy,52.065000000000005,,13,0.043884992599487305,E465E150
173,104,17,True,173,,0,69,and_direct_anf,5,6,sweep_truth_n5_1,2,t_heavy,T-heavy,109.80499999999999,,17,0.0001010894775390625,8B9D2434
62,72,13,True,78,,0,37,sshr_h,5,6,sweep_truth_n5_0,1,t_heavy,T-heavy,74.50500000000001,,13,0.031148910522460938,E465E150
48,24,11,True,53,,1,27,and_affine_nmcts,4,6,sweep_truth_n4_3,2,t_heavy,T-heavy,27.12,,7,0.7136659622192383,BDD6
85,52,17,True,111,,0,59,and_cube_beam,5,6,sweep_truth_n5_1,2,t_heavy,T-heavy,56.125,,17,0.008843183517456055,8B9D2434
60,64,17,True,82,,0,37,sshr_h,5,6,sweep_truth_n5_1,1,t_heavy,T-heavy,66.495,,17,0.03511309623718262,8B9D2434
140,84,14,True,140,,0,56,and_direct_anf,5,6,sweep_truth_n5_2,3,t_heavy,T-heavy,90.08,,14,9.512901306152344e-05,16419F82
136,64,17,True,136,,1,60,and_mcts_factor,5,7,sweep_truth_n5_1,2,t_heavy,T-heavy,69.02000000000001,,17,0.1240849494934082,8B9D2434
109,56,14,True,109,,1,47,and_mcts_factor,5,7,sweep_truth_n5_2,2,t_heavy,T-heavy,60.415,,14,0.06654620170593262,16419F82
103,64,14,True,123,,0,59,and_cube_beam,5,6,sweep_truth_n5_2,3,t_heavy,T-heavy,69.455,,14,0.00790095329284668,16419F82
66,72,14,True,76,,0,27,sshr_h,5,6,sweep_truth_n5_2,2,t_heavy,T-heavy,75.505,,14,0.0023648738861083984,16419F82
110,64,15,True,111,,0,47,and_direct_anf,5,6,sweep_truth_n5_3,2,t_heavy,T-heavy,68.44000000000001,,15,9.322166442871094e-05,972A8469
25,12,9,True,29,,0,17,and_affine_nmcts,4,5,sweep_truth_n4_11,1,t_heavy,T-heavy,13.605,,5,0.21149396896362305,BD9C
