name,n,profile,term_count,method,score,T,CNOT,depth,gates,peak_ancilla,time_s,anf_verified,plan_nodes,plan_mismatches
terms_n20_0019_shallow,20,shallow,48,screen_depth1,289.65,256,434,434,178,4,0.02447095800016541,True,5,0
terms_n20_0019_shallow,20,shallow,48,screen_depth2,276.665,244,417,417,173,4,0.11190929199801758,True,7,0
terms_n20_0019_shallow,20,shallow,48,screen_single,311.335,276,463,463,187,4,0.0038440830030594952,True,3,0
terms_n20_0020_mixed,20,mixed,71,adaptive_all_depth,693.2800000000001,624,1008,1008,384,5,0.2128537489916198,True,7,0
terms_n20_0020_mixed,20,mixed,71,depth2_guard_direct,693.2800000000001,624,1008,1008,384,5,0.16655791599623626,True,7,0
terms_n20_0020_mixed,20,mixed,71,depth_policy,693.2800000000001,624,1008,1008,384,5,0.16655791599623626,True,7,0
terms_n20_0020_mixed,20,mixed,71,direct_logical_and,826.065,748,1193,1193,445,4,8.330025593750179e-07,True,1,0
terms_n20_0020_mixed,20,mixed,71,screen_depth1,697.4350000000001,628,1011,1011,383,5,0.04039274999377085,True,5,0
terms_n20_0020_mixed,20,mixed,71,screen_depth2,693.2800000000001,624,1008,1008,384,5,0.16655791599623626,True,7,0
terms_n20_0020_mixed,20,mixed,71,screen_single,710.355,640,1027,1027,387,5,0.005903083001612686,True,3,0
terms_n20_0021_deep,20,deep,137,adaptive_all_depth,1373.235,1244,1995,1995,751,6,0.5003847919942928,True,7,0
terms_n20_0021_deep,20,deep,137,depth2_guard_direct,1373.235,1244,1995,1995,751,6,0.4043026250001276,True,7,0
terms_n20_0021_deep,20,deep,137,depth_policy,1373.235,1244,1995,1995,751,6,0.4043026250001276,True,7,0
terms_n20_0021_deep,20,deep,137,direct_logical_and,1608.655,1460,2327,2327,867,6,8.749993867240846e-07,True,1,0
terms_n20_0021_deep,20,deep,137,screen_depth1,1412.45,1280,2050,2050,770,6,0.0833732089959085,True,5,0
terms_n20_0021_deep,20,deep,137,screen_depth2,1373.235,1244,1995,1995,751,6,0.4043026250001276,True,7,0
terms_n20_0021_deep,20,deep,137,screen_single,1482.245,1344,2149,2149,805,6,0.012708957998256665,True,3,0
terms_n20_0022_shallow,20,shallow,80,adaptive_all_depth,754.895,680,1103,1103,423,5,0.25078225099423435,True,7,0
terms_n20_0022_shallow,20,shallow,80,depth2_guard_direct,754.895,680,1103,1103,423,5,0.19926054200186627,True,7,0
terms_n20_0022_shallow,20,shallow,80,depth_policy,754.895,680,1103,1103,423,5,0.19926054200186627,True,7,0
terms_n20_0022_shallow,20,shallow,80,direct_logical_and,839.6999999999999,760,1220,1220,460,4,5.420006345957518e-07,True,1,0
terms_n20_0022_shallow,20,shallow,80,screen_depth1,759.0500000000001,684,1106,1106,422,5,0.04501854199770605,True,5,0
terms_n20_0022_shallow,20,shallow,80,screen_depth2,754.895,680,1103,1103,423,5,0.19926054200186627,True,7,0
terms_n20_0022_shallow,20,shallow,80,screen_single,789.4350000000001,712,1147,1147,435,5,0.006503166994662024,True,3,0
terms_n20_0023_mixed,20,mixed,100,adaptive_all_depth,912.4050000000001,824,1333,1333,509,5,0.36202933300228324,True,7,0
terms_n20_0023_mixed,20,mixed,100,depth2_guard_direct,912.4050000000001,824,1333,1333,509,5,0.2964612079958897,True,7,0
terms_n20_0023_mixed,20,mixed,100,depth_policy,912.4050000000001,824,1333,1333,509,5,0.2964612079958897,True,7,0
terms_n20_0023_mixed,20,mixed,100,direct_logical_and,1069.1999999999998,968,1552,1552,584,5,7.499984349124134e-07,True,1,0
terms_n20_0023_mixed,20,mixed,100,screen_depth1,934.025,844,1361,1361,517,5,0.05673450000176672,True,5,0
terms_n20_0023_mixed,20,mixed,100,screen_depth2,912.4050000000001,824,1333,1333,509,5,0.2964612079958897,True,7,0
terms_n20_0023_mixed,20,mixed,100,screen_single,990.6400000000001,896,1440,1440,544,5,0.00883362500462681,True,3,0
terms_n20_0024_deep,20,deep,165,adaptive_all_depth,1381.755,1252,2035,2035,783,5,0.6405997920010122,True,7,0
terms_n20_0024_deep,20,deep,165,depth2_guard_direct,1381.755,1252,2035,2035,783,5,0.5180441670017899,True,7,0
terms_n20_0024_deep,20,deep,165,depth_policy,1381.755,1252,2035,2035,783,5,0.5180441670017899,True,7,0
terms_n20_0024_deep,20,deep,165,direct_logical_and,1604.125,1456,2349,2349,893,5,7.919952622614801e-07,True,1,0
terms_n20_0024_deep,20,deep,165,screen_depth1,1425.32,1292,2096,2096,804,5,0.10643712500313995,True,5,0
terms_n20_0024_deep,20,deep,165,screen_depth2,1381.755,1252,2035,2035,783,5,0.5180441670017899,True,7,0
terms_n20_0024_deep,20,deep,165,screen_single,1503.75,1364,2206,2206,842,5,0.01611849999608239,True,3,0
