CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,index,method,n,n_qubits,name,onset_size,peak_ancilla,preset_name,score,skipped,source_manifest,time_s,truth_table_hex
24,32,8,True,29,,0,10,22,external_sshr_i_t,4,5,truth_n4_5,9,1,truth_n4_5,35.495000000000005,,benchmark_exports/traditional_resource_external_seed42,1.2385530471801758,3EB1
27,20,10,True,34,,0,16,26,external_sshr_i_cnot,4,5,truth_n4_9,8,1,truth_n4_9,23.75,,benchmark_exports/traditional_resource_external_seed42,0.31830406188964844,1A3D
21,28,7,True,29,,0,15,27,external_sshr_h,4,5,truth_n4_10,9,1,truth_n4_10,31.424999999999997,,benchmark_exports/traditional_resource_external_seed42,0.00011992454528808594,AD3C
27,20,11,True,33,,0,15,25,external_sshr_i_t,4,5,truth_n4_8,8,1,truth_n4_8,23.724999999999998,,benchmark_exports/traditional_resource_external_seed42,0.6441929340362549,BC89
26,32,8,True,32,,0,13,24,external_sshr_i_t,4,5,truth_n4_7,7,1,truth_n4_7,35.65,,benchmark_exports/traditional_resource_external_seed42,1.0405738353729248,23B8
31,24,9,True,41,,0,18,28,external_sshr_h,4,5,truth_n4_11,10,1,truth_n4_11,28.034999999999997,,benchmark_exports/traditional_resource_external_seed42,0.0001671314239501953,BD9C
20,28,7,True,27,,0,13,27,external_sshr_i_cnot,4,5,truth_n4_10,9,1,truth_n4_10,31.335,,benchmark_exports/traditional_resource_external_seed42,0.26993799209594727,AD3C
27,20,10,True,34,,0,16,26,external_sshr_i_t,4,5,truth_n4_9,8,1,truth_n4_9,23.75,,benchmark_exports/traditional_resource_external_seed42,0.7500629425048828,1A3D
29,20,11,True,41,,0,23,29,external_sshr_h,4,5,truth_n4_12,8,1,truth_n4_12,24.005,,benchmark_exports/traditional_resource_external_seed42,0.00012993812561035156,E465
23,20,9,True,29,,0,11,28,external_sshr_i_cnot,4,5,truth_n4_11,10,1,truth_n4_11,23.465,,benchmark_exports/traditional_resource_external_seed42,0.3181643486022949,BD9C
