CNOT,T,anf_terms,budget,candidate_top_k,correct,depth,explicit_ancilla,gates,max_polarities,mcts_simulations,method,model,n,n_qubits,name,neural_mcts_simulations,peak_ancilla,score,skipped,terms,time_s,truth_table_hex,variant
183,104,15,top8_s8_n12,8,True,183,2,73,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,9,majority_n6,12,3,120.795,,15,0.17209386825561523,FEE8E880E8808000,learned_prior
78,40,15,top8_s8_n12,8,True,89,1,43,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,7,threshold2_n5,12,2,48.885,,6,0.24760127067565918,FFFEFEE8,learned_prior
67,36,9,top8_s8_n12,8,True,67,1,29,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,mux_2_4,12,1,41.975,,9,0.003515005111694336,FEDCBA9876543210,learned_prior
65,32,9,top8_s8_n12,8,True,71,1,37,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,mux_2_4,12,1,38.035,,11,0.023339033126831055,FEDCBA9876543210,learned_prior
6,0,6,top8_s8_n12,8,True,6,0,6,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,7,parity_n6,12,0,0.38999999999999996,,6,0.2655768394470215,6996966996696996,learned_prior
78,40,15,top8_s8_n12,8,True,89,1,43,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,7,threshold2_n5,12,2,48.885,,6,0.3281090259552002,FFFEFEE8,learned_prior
31,16,3,top8_s8_n12,8,True,31,1,13,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,adder_carry_w2,12,1,19.834999999999997,,3,0.02944803237915039,EC80,learned_prior
31,16,3,top8_s8_n12,8,True,31,1,13,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,adder_carry_w2,12,1,19.834999999999997,,3,0.03727889060974121,EC80,learned_prior
97,48,7,top8_s8_n12,8,True,97,1,39,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,adder_carry_w3,12,2,57.725,,7,0.011643171310424805,FEFCF8F0E0C08000,learned_prior
183,104,35,top8_s8_n12,8,True,196,2,86,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,9,threshold3_n6,12,3,121.11999999999999,,16,0.2332301139831543,FFFEFEE8FEE8E880,learned_prior
60,32,7,top8_s8_n12,8,True,60,2,26,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,9,adder_carry_w3,12,3,41.559999999999995,,7,0.07828783988952637,FEFCF8F0E0C08000,learned_prior
14,8,2,top8_s8_n12,8,True,14,0,6,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,mul_w2_bit1,12,0,8.830000000000002,,2,0.0027692317962646484,6AC0,learned_prior
14,8,2,top8_s8_n12,8,True,14,0,6,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,mul_w2_bit1,12,0,8.830000000000002,,2,0.004352092742919922,6AC0,learned_prior
14,8,2,top8_s8_n12,8,True,14,0,6,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,mul_w2_bit1,12,0,8.830000000000002,,2,0.03780984878540039,6AC0,learned_prior
38,20,4,top8_s8_n12,8,True,38,1,16,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,mul_w3_bit2,12,2,26.25,,4,0.003916025161743164,1E665AAAB4CCF000,learned_prior
38,20,4,top8_s8_n12,8,True,38,1,16,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,mul_w3_bit2,12,2,26.25,,4,0.02650308609008789,1E665AAAB4CCF000,learned_prior
49,24,5,top8_s8_n12,8,True,58,1,32,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,majority_n4,12,2,31.150000000000002,,8,0.6145968437194824,E880,learned_prior
49,24,7,top8_s8_n12,8,True,49,1,23,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,threshold2_n4,12,2,30.925,,7,0.6085529327392578,FEE8,learned_prior
31,16,9,top8_s8_n12,8,True,33,0,17,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_0,12,1,19.905,,5,0.029697179794311523,A3B1,learned_prior
31,16,9,top8_s8_n12,8,True,33,0,17,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_0,12,1,19.905,,5,0.03982710838317871,A3B1,learned_prior
65,32,9,top8_s8_n12,8,True,71,1,37,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,mux_2_4,12,1,38.035,,11,0.33530521392822266,FEDCBA9876543210,learned_prior
25,12,3,top8_s8_n12,8,True,30,1,18,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,adder_carry_w2,12,2,17.63,,6,0.27900171279907227,EC80,learned_prior
38,20,4,top8_s8_n12,8,True,38,1,16,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_1,12,1,24.25,,4,0.026723623275756836,1C80,learned_prior
37,16,4,top8_s8_n12,8,True,39,1,21,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_1,12,1,20.275000000000002,,7,0.03364682197570801,1C80,learned_prior
49,24,12,top8_s8_n12,8,True,54,1,28,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_2,12,2,31.05,,8,0.06648921966552734,667,learned_prior
49,24,12,top8_s8_n12,8,True,54,1,28,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_2,12,2,31.05,,8,0.08032894134521484,667,learned_prior
48,24,11,top8_s8_n12,8,True,53,1,27,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_3,12,2,30.985000000000003,,7,0.06441593170166016,BDD6,learned_prior
48,24,11,top8_s8_n12,8,True,53,1,27,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_3,12,2,30.985000000000003,,7,0.07599210739135742,BDD6,learned_prior
38,20,4,top8_s8_n12,8,True,38,1,16,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,8,mul_w3_bit2,12,2,26.25,,4,0.3337569236755371,1E665AAAB4CCF000,learned_prior
31,16,9,top8_s8_n12,8,True,33,0,17,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_0,12,1,19.905,,5,0.29507994651794434,A3B1,learned_prior
37,16,4,top8_s8_n12,8,True,39,1,21,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_1,12,1,20.275000000000002,,7,0.28116822242736816,1C80,learned_prior
39,16,8,top8_s8_n12,8,True,43,1,25,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_4,12,1,20.455,,5,0.03481411933898926,4668,learned_prior
39,16,8,top8_s8_n12,8,True,43,1,25,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_4,12,1,20.455,,5,0.03651022911071777,4668,learned_prior
36,16,8,top8_s8_n12,8,True,38,1,20,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_5,12,2,22.21,,6,0.05088186264038086,3EB1,learned_prior
36,16,8,top8_s8_n12,8,True,38,1,20,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_5,12,2,22.21,,6,0.05483102798461914,3EB1,learned_prior
31,16,8,top8_s8_n12,8,True,34,0,18,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_6,12,1,19.93,,6,0.019733905792236328,3924,learned_prior
31,16,8,top8_s8_n12,8,True,34,0,18,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_6,12,1,19.93,,6,0.02650904655456543,3924,learned_prior
31,16,8,top8_s8_n12,8,True,34,0,18,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_6,12,1,19.93,,6,0.22141695022583008,3924,learned_prior
39,16,8,top8_s8_n12,8,True,43,1,25,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_4,12,1,20.455,,5,0.34445905685424805,4668,learned_prior
42,20,12,top8_s8_n12,8,True,46,1,24,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_2,12,2,26.61,,6,0.5899841785430908,667,learned_prior
39,16,8,top8_s8_n12,8,True,43,1,25,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_7,12,2,22.455,,5,0.060562849044799805,23B8,learned_prior
39,16,8,top8_s8_n12,8,True,43,1,25,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_7,12,2,22.455,,5,0.06577205657958984,23B8,learned_prior
40,16,11,top8_s8_n12,8,True,45,1,25,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_8,12,1,20.525000000000002,,7,0.03972673416137695,BC89,learned_prior
40,16,11,top8_s8_n12,8,True,45,1,25,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_8,12,1,20.525000000000002,,7,0.04591107368469238,BC89,learned_prior
44,20,10,top8_s8_n12,8,True,50,1,26,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_9,12,1,24.770000000000003,,6,0.033838748931884766,1A3D,learned_prior
44,20,10,top8_s8_n12,8,True,50,1,26,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_9,12,1,24.770000000000003,,6,0.04344797134399414,1A3D,learned_prior
36,16,8,top8_s8_n12,8,True,38,1,20,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_5,12,2,22.21,,6,0.5148701667785645,3EB1,learned_prior
29,12,7,top8_s8_n12,8,True,33,1,19,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_10,12,2,17.845,,5,0.052178382873535156,AD3C,learned_prior
48,24,11,top8_s8_n12,8,True,53,1,27,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_3,12,2,30.985000000000003,,7,0.6966738700866699,BDD6,learned_prior
29,12,7,top8_s8_n12,8,True,33,1,19,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_10,12,2,17.845,,5,0.0624539852142334,AD3C,learned_prior
25,12,9,top8_s8_n12,8,True,29,0,17,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_11,12,1,15.605,,5,0.023331165313720703,BD9C,learned_prior
25,12,9,top8_s8_n12,8,True,29,0,17,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_11,12,1,15.605,,5,0.030756235122680664,BD9C,learned_prior
40,16,11,top8_s8_n12,8,True,45,1,25,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_8,12,1,20.525000000000002,,7,0.381699800491333,BC89,learned_prior
55,28,7,top8_s8_n12,8,True,59,2,31,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,6,9,adder_carry_w3,12,4,39.394999999999996,,13,1.3231630325317383,FEFCF8F0E0C08000,learned_prior
38,16,11,top8_s8_n12,8,True,41,1,23,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_12,12,1,20.365,,5,0.032086849212646484,E465,learned_prior
38,16,11,top8_s8_n12,8,True,41,1,23,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_12,12,1,20.365,,5,0.03836393356323242,E465,learned_prior
41,20,10,top8_s8_n12,8,True,45,1,23,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_9,12,1,24.545,,5,0.35866594314575195,1A3D,learned_prior
45,20,9,top8_s8_n12,8,True,49,1,27,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_13,12,2,26.805,,5,0.05550193786621094,8B9D,learned_prior
39,16,8,top8_s8_n12,8,True,43,1,25,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_7,12,2,22.455,,5,0.5452229976654053,23B8,learned_prior
45,20,9,top8_s8_n12,8,True,49,1,27,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_13,12,2,26.805,,5,0.0700387954711914,8B9D,learned_prior
43,20,10,top8_s8_n12,8,True,45,1,23,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_14,12,2,26.625,,7,0.08053994178771973,1641,learned_prior
70,32,15,top8_s8_n12,8,True,70,1,34,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,5,7,majority_n5,12,2,40.19,,6,1.9387609958648682,FEE8E880,learned_prior
25,12,9,top8_s8_n12,8,True,29,0,17,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_11,12,1,15.605,,5,0.27066493034362793,BD9C,learned_prior
43,20,10,top8_s8_n12,8,True,45,1,23,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_14,12,2,26.625,,7,0.06690096855163574,1641,learned_prior
28,12,7,top8_s8_n12,8,True,30,0,18,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_15,12,1,15.75,,4,0.013668060302734375,972A,learned_prior
28,12,7,top8_s8_n12,8,True,30,0,18,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_15,12,1,15.75,,4,0.029703140258789062,972A,learned_prior
25,12,8,top8_s8_n12,8,True,30,0,18,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_16,12,1,15.629999999999999,,6,0.018738985061645508,6C03,learned_prior
25,12,8,top8_s8_n12,8,True,30,0,18,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_16,12,1,15.629999999999999,,6,0.03117203712463379,6C03,learned_prior
32,16,4,top8_s8_n12,8,True,32,1,14,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_17,12,2,21.900000000000002,,4,0.05320596694946289,822,learned_prior
28,12,7,top8_s8_n12,8,True,33,1,19,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_10,12,2,17.805,,5,0.4772779941558838,AD3C,learned_prior
32,16,4,top8_s8_n12,8,True,32,1,14,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_17,12,2,21.900000000000002,,4,0.059999942779541016,822,learned_prior
35,16,11,top8_s8_n12,8,True,40,1,22,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_12,12,1,20.22,,6,0.344743013381958,E465,learned_prior
31,12,6,top8_s8_n12,8,True,33,1,19,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_18,12,2,17.924999999999997,,3,0.05820512771606445,7A0,learned_prior
24,12,8,top8_s8_n12,8,True,28,0,16,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_16,12,1,15.540000000000001,,4,0.2154078483581543,6C03,learned_prior
31,12,6,top8_s8_n12,8,True,33,1,19,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_18,12,2,17.924999999999997,,3,0.06565189361572266,7A0,learned_prior
32,16,8,top8_s8_n12,8,True,39,1,21,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_19,12,1,20.075000000000003,,5,0.027219057083129883,17FC,learned_prior
26,12,8,top8_s8_n12,8,True,28,1,16,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,6,truth_n4_19,12,2,17.619999999999997,,6,0.05930972099304199,17FC,learned_prior
31,16,6,top8_s8_n12,8,True,33,0,17,8,8,and_affine_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_20,12,1,19.905,,5,0.022795915603637695,37F8,learned_prior
28,16,6,top8_s8_n12,8,True,32,0,16,8,8,and_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_20,12,1,19.76,,6,0.03307628631591797,37F8,learned_prior
28,12,7,top8_s8_n12,8,True,30,0,18,8,8,and_pareto_resource_nmcts,/Users/zhouzixiang/Desktop/tzb/src/resource_nmcts_experiment/models/action_scorer.pt,4,5,truth_n4_15,12,1,15.75,,4,0.3631289005279541,972A,learned_prior
