name,n,method,T,CNOT,depth,gates,explicit_ancilla,peak_ancilla,n_qubits,score,score_lower_bound,score_rz1,score_rz1.5,score_rz2,score_rz4,score_rz10,score_synth_tperrz30,score_synth_tperrz60,score_synth_tperrz100,time_s,anf_terms,parity_gadgets,rz_total,rz_clifford,rz_t_like,rz_non_clifford,rz_max_denominator,phase_ops,ct_supported,verified_up_to_global_phase,correct,skipped,error,truth_table_hex,candidate_affine_forms,candidate_polarities,candidate_transforms,global_phase_pi,global_phase_pi_den,global_phase_pi_num,polarity,polarity_hex,polarity_weight,rank_metric,shifted_constant_term,transform_index,transform_nonidentity,transform_rows_hex,transform_weight
truth_n5_36,5,phase_parity_affine_fprm_opt_score,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.0775760014851888,10,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,5EC42E08,1024,32,32,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_36,5,phase_parity_affine_fprm_opt_rz1,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.0775760014851888,10,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,5EC42E08,1024,32,32,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_36,5,phase_parity_affine_fprm_opt_tperrz30,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.0775760014851888,10,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,5EC42E08,1024,32,32,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_37,5,phase_parity_affine_fprm_opt_score,11,32,45,45,0,0,5,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,0.03610690434773763,8,13,13,2,11,0,4,11,1,True,phase oracle verified up to global phase,,,5AF30553,1024,32,32,1/1,1,1,13,0xd,3,score,0,20,1,0x1;0x2;0xc;0x8;0x10,6
truth_n5_37,5,phase_parity_affine_fprm_opt_rz1,11,32,45,45,0,0,5,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,0.03610690434773763,8,13,13,2,11,0,4,11,1,True,phase oracle verified up to global phase,,,5AF30553,1024,32,32,1/1,1,1,13,0xd,3,score_rz1,0,20,1,0x1;0x2;0xc;0x8;0x10,6
truth_n5_37,5,phase_parity_affine_fprm_opt_tperrz30,11,32,45,45,0,0,5,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,13.405,0.03610690434773763,8,13,13,2,11,0,4,11,1,True,phase oracle verified up to global phase,,,5AF30553,1024,32,32,1/1,1,1,13,0xd,3,score_synth_tperrz30,0,20,1,0x1;0x2;0xc;0x8;0x10,6
truth_n5_38,5,phase_parity_affine_fprm_opt_score,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.07730428377787273,16,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,35A240AE,1024,32,32,0/1,1,0,0,0x0,0,score,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_38,5,phase_parity_affine_fprm_opt_rz1,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.07730428377787273,16,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,35A240AE,1024,32,32,0/1,1,0,0,0x0,0,score_rz1,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_38,5,phase_parity_affine_fprm_opt_tperrz30,0,98,129,129,0,0,5,7.145,7.145,38.144999999999996,53.644999999999996,69.145,131.145,317.145,960.395,1913.6450000000002,3184.645,0.07730428377787273,16,31,31,0,0,31,16,31,0,True,phase oracle verified up to global phase,,,35A240AE,1024,32,32,0/1,1,0,0,0x0,0,score_synth_tperrz30,0,0,0,0x1;0x2;0x4;0x8;0x10,5
truth_n5_39,5,phase_parity_affine_fprm_opt_score,3,76,99,99,0,0,5,8.515,8.515,24.515,32.515,40.515,72.515,168.515,500.51500000000004,992.515,1648.5149999999999,0.06599799791971843,14,23,23,4,3,16,8,19,0,True,phase oracle verified up to global phase,,,AB9099A4,1024,32,32,0/1,1,0,0,0x0,0,score,0,29,1,0x1f;0x1d;0x4;0xa;0x10,13
truth_n5_39,5,phase_parity_affine_fprm_opt_rz1,3,76,99,99,0,0,5,8.515,8.515,24.515,32.515,40.515,72.515,168.515,500.51500000000004,992.515,1648.5149999999999,0.06599799791971843,14,23,23,4,3,16,8,19,0,True,phase oracle verified up to global phase,,,AB9099A4,1024,32,32,0/1,1,0,0,0x0,0,score_rz1,0,29,1,0x1f;0x1d;0x4;0xa;0x10,13
truth_n5_39,5,phase_parity_affine_fprm_opt_tperrz30,4,76,102,102,0,0,5,9.59,9.59,24.59,32.09,39.59,69.59,159.59,470.84,932.0899999999999,1547.09,0.06599799791971843,19,26,26,7,4,15,8,19,0,True,phase oracle verified up to global phase,,,AB9099A4,1024,32,32,0/1,1,0,9,0x9,2,score_synth_tperrz30,1,28,1,0x1;0x6;0x4;0x8;0x11,7
truth_n5_4,5,phase_parity_affine_fprm_opt_score,3,72,95,95,0,0,5,8.254999999999999,8.254999999999999,24.255,32.254999999999995,40.254999999999995,72.255,168.255,500.255,992.255,1648.255,0.06542698542277019,17,23,23,4,3,16,8,19,0,True,phase oracle verified up to global phase,,,60E7A113,1024,32,32,1/1,1,1,2,0x2,1,score,0,8,1,0x1;0x2;0x4;0x9;0x10,6
truth_n5_4,5,phase_parity_affine_fprm_opt_rz1,4,62,82,82,0,0,5,8.530000000000001,8.530000000000001,23.53,31.03,38.53,68.53,158.53,469.78000000000003,931.0300000000001,1546.03,0.06542698542277019,11,20,20,1,4,15,8,19,0,True,phase oracle verified up to global phase,,,60E7A113,1024,32,32,1/1,1,1,2,0x2,1,score_rz1,0,29,1,0x1f;0x1d;0x4;0xa;0x10,13
