name,n,portfolio,selected_method,selected_score,selected_T,selected_CNOT,selected_depth,selected_peak_ancilla,selected_time_s,portfolio_run_all_time_s,revkit_lower_score,revkit_non_clifford_rz,revkit_total_rz,break_even_rz_score,break_even_impossible,revkit_score_rz0,relative_rz0,wins_rz0,revkit_score_rz0.25,relative_rz0.25,wins_rz0.25,revkit_score_rz0.5,relative_rz0.5,wins_rz0.5,revkit_score_rz0.75,relative_rz0.75,wins_rz0.75,revkit_score_rz1,relative_rz1,wins_rz1,revkit_score_rz1.5,relative_rz1.5,wins_rz1.5,revkit_score_rz2,relative_rz2,wins_rz2,revkit_score_rz4,relative_rz4,wins_rz4,revkit_score_rz10,relative_rz10,wins_rz10
truth_n5_18,5,traditional_baseline_family,and_esop_milp,43.76499999999999,36.0,60.0,69.0,2.0,0.9621601104736328,0.9744961261749268,4.7700000000000005,48.0,49.0,0.8123958333333331,0,4.7700000000000005,8.175052410901465,0,16.77,1.609719737626714,0,28.77,0.5212026416405976,0,40.77,0.07346087809663944,0,52.77,-0.17064620049270435,1,76.77,-0.42992054187833795,1,100.77,-0.5656941550064504,1,196.77,-0.7775829648828583,1,484.77,-0.9097200734368877,1
truth_n5_18,5,all_internal_score_portfolio,and_fprm_polarity_archive,40.355000000000004,32.0,71.0,75.0,2.0,0.03170514106750488,6.737550497055054,4.7700000000000005,48.0,49.0,0.7413541666666666,0,4.7700000000000005,7.460167714884696,0,16.77,1.4063804412641625,0,28.77,0.40267639902676416,0,40.77,-0.010179053225410819,1,52.77,-0.23526624976312296,1,76.77,-0.47433893447961434,1,100.77,-0.5995335913466309,1,196.77,-0.7949128424048382,1,484.77,-0.9167543371083193,1
truth_n5_19,5,resource_nmcts_family,and_pareto_resource_nmcts,40.46,32.0,73.0,76.0,2.0,3.4081010818481445,3.8107848167419434,6.035,43.0,45.0,0.8005813953488371,0,6.035,5.704225352112675,0,16.785,1.4104855525767055,0,27.535,0.4694025785364082,0,38.285,0.05681076139480226,0,49.035,-0.17487508922198422,1,70.535,-0.4263840646487559,1,92.035,-0.5603846362796762,1,178.035,-0.7727413149099895,1,436.035,-0.907209283658422,1
truth_n5_19,5,traditional_baseline_family,and_esop_milp,52.745000000000005,44.0,74.0,89.0,2.0,1.7231519222259521,1.735219955444336,6.035,43.0,45.0,1.086279069767442,0,6.035,7.739850869925436,0,16.785,2.1423890378313977,0,27.535,0.9155620119847468,0,38.285,0.37769361368682275,0,49.035,0.07566024268379745,0,70.535,-0.2522152123059473,1,92.035,-0.4269028087140761,1,178.035,-0.7037380290392339,1,436.035,-0.8790349398557455,1
truth_n5_19,5,all_internal_score_portfolio,and_affine_nmcts,40.46,32.0,73.0,76.0,2.0,2.058534860610962,7.651193618774414,6.035,43.0,45.0,0.8005813953488371,0,6.035,5.704225352112675,0,16.785,1.4104855525767055,0,27.535,0.4694025785364082,0,38.285,0.05681076139480226,0,49.035,-0.17487508922198422,1,70.535,-0.4263840646487559,1,92.035,-0.5603846362796762,1,178.035,-0.7727413149099895,1,436.035,-0.907209283658422,1
truth_n5_2,5,resource_nmcts_family,and_pareto_resource_nmcts,60.5,48.0,106.0,112.0,3.0,6.583543062210083,7.918999195098877,5.5649999999999995,63.0,63.0,0.871984126984127,0,5.5649999999999995,9.87151841868823,0,21.314999999999998,1.8383767300023461,0,37.065,0.6322676379333604,0,52.815,0.14550790495124497,0,68.565,-0.11762561073433965,1,100.065,-0.3953929945535402,1,131.565,-0.5401512560331395,1,257.565,-0.7651078368567158,1,635.565,-0.9048091068576778,1
truth_n5_2,5,traditional_baseline_family,and_cube_beam,98.61000000000001,84.0,135.0,162.0,3.0,0.010823249816894531,10.050371170043945,5.5649999999999995,63.0,63.0,1.4769047619047622,0,5.5649999999999995,16.719676549865234,0,21.314999999999998,3.6263194933145684,0,37.065,1.6604613516794826,0,52.815,0.8670832149957401,0,68.565,0.4381973309997815,0,100.065,-0.014540548643381643,1,131.565,-0.2504845513624443,1,257.565,-0.6171451866519131,1,635.565,-0.844846711193977,1
truth_n5_2,5,all_internal_score_portfolio,and_pareto_resource_nmcts,60.5,48.0,106.0,112.0,3.0,6.583543062210083,22.466327905654907,5.5649999999999995,63.0,63.0,0.871984126984127,0,5.5649999999999995,9.87151841868823,0,21.314999999999998,1.8383767300023461,0,37.065,0.6322676379333604,0,52.815,0.14550790495124497,0,68.565,-0.11762561073433965,1,100.065,-0.3953929945535402,1,131.565,-0.5401512560331395,1,257.565,-0.7651078368567158,1,635.565,-0.9048091068576778,1
truth_n5_20,5,resource_nmcts_family,and_fprm_polarity_archive,49.08,40.0,83.0,88.0,2.0,0.09174489974975586,6.614440202713013,4.54,44.0,45.0,1.0122727272727272,0,4.54,9.810572687224669,0,15.54,2.158301158301158,0,26.54,0.8492840994724944,0,37.54,0.30740543420351624,0,48.54,0.01112484548825709,0,70.54,-0.30422455344485405,1,92.54,-0.4696347525394425,1,180.54,-0.7281488866733133,1,444.54,-0.8895937373464705,1
truth_n5_20,5,traditional_baseline_family,and_esop_milp,65.805,56.0,91.0,109.0,2.0,5.938383102416992,5.953425168991089,4.54,44.0,45.0,1.3923863636363638,0,4.54,13.494493392070487,0,15.54,3.234555984555985,0,26.54,1.4794649585531277,0,37.54,0.7529302077783699,0,48.54,0.3556860321384427,0,70.54,-0.06712503544088459,1,92.54,-0.28890209639074993,1,180.54,-0.635510136257893,1,444.54,-0.8519705763260899,1
truth_n5_20,5,all_internal_score_portfolio,and_fprm_polarity_archive,49.08,40.0,83.0,88.0,2.0,0.09174489974975586,15.973630428314209,4.54,44.0,45.0,1.0122727272727272,0,4.54,9.810572687224669,0,15.54,2.158301158301158,0,26.54,0.8492840994724944,0,37.54,0.30740543420351624,0,48.54,0.01112484548825709,0,70.54,-0.30422455344485405,1,92.54,-0.4696347525394425,1,180.54,-0.7281488866733133,1,444.54,-0.8895937373464705,1
truth_n5_21,5,resource_nmcts_family,and_pareto_resource_nmcts,35.78,28.0,60.0,68.0,2.0,2.8545939922332764,3.4642438888549805,3.79,39.0,39.0,0.8202564102564103,0,3.79,8.440633245382585,0,13.54,1.6425406203840476,0,23.29,0.5362816659510521,0,33.04,0.08292978208232452,0,42.79,-0.1638233232063566,1,62.29,-0.4255899823406646,1,81.79,-0.5625382076048416,1,159.79,-0.7760811064522185,1,393.79,-0.9091393890144492,1
truth_n5_21,5,traditional_baseline_family,and_esop_milp,57.105,48.0,79.0,97.0,2.0,1.1200461387634277,1.1613383293151855,3.79,39.0,39.0,1.367051282051282,0,3.79,14.067282321899736,0,13.54,3.217503692762186,0,23.29,1.4519106912838127,0,33.04,0.7283595641646489,0,42.79,0.3345407805562047,0,62.29,-0.08323968534275168,1,81.79,-0.3018095121653015,1,159.79,-0.6426246949120722,1,393.79,-0.8549861601361132,1
truth_n5_21,5,all_internal_score_portfolio,and_affine_nmcts,35.78,28.0,60.0,68.0,2.0,1.445573091506958,6.117796421051025,3.79,39.0,39.0,0.8202564102564103,0,3.79,8.440633245382585,0,13.54,1.6425406203840476,0,23.29,0.5362816659510521,0,33.04,0.08292978208232452,0,42.79,-0.1638233232063566,1,62.29,-0.4255899823406646,1,81.79,-0.5625382076048416,1,159.79,-0.7760811064522185,1,393.79,-0.9091393890144492,1
truth_n5_22,5,resource_nmcts_family,and_fprm_polarity_archive,49.17,40.0,84.0,90.0,2.0,0.10598206520080566,6.257172346115112,5.5649999999999995,63.0,63.0,0.6921428571428572,0,5.5649999999999995,7.835579514824799,0,21.314999999999998,1.3068261787473614,0,37.065,0.3265884257385675,0,52.815,-0.0690144845214427,1,68.565,-0.28287026908772694,1,100.065,-0.5086193973916954,1,131.565,-0.6262683844487515,1,257.565,-0.809096732863549,1,635.565,-0.9226357650279673,1
truth_n5_22,5,traditional_baseline_family,and_esop_milp,63.43,52.0,85.0,102.0,3.0,2.936422348022461,2.9748146533966064,5.5649999999999995,63.0,63.0,0.9184920634920635,0,5.5649999999999995,10.398023360287512,0,21.314999999999998,1.975838611306592,0,37.065,0.7113179549440174,0,52.815,0.20098456877780937,0,68.565,-0.07489243783271346,1,100.065,-0.3661120271823315,1,131.565,-0.5178808953749097,1,257.565,-0.7537320676334129,1,635.565,-0.9001990355038432,1
truth_n5_22,5,all_internal_score_portfolio,and_fprm_polarity_archive,49.17,40.0,84.0,90.0,2.0,0.10598206520080566,12.798826932907104,5.5649999999999995,63.0,63.0,0.6921428571428572,0,5.5649999999999995,7.835579514824799,0,21.314999999999998,1.3068261787473614,0,37.065,0.3265884257385675,0,52.815,-0.0690144845214427,1,68.565,-0.28287026908772694,1,100.065,-0.5086193973916954,1,131.565,-0.6262683844487515,1,257.565,-0.809096732863549,1,635.565,-0.9226357650279673,1
truth_n5_23,5,resource_nmcts_family,and_pareto_resource_nmcts,53.21,44.0,86.0,90.0,2.0,5.6427881717681885,6.2935450077056885,5.5649999999999995,63.0,63.0,0.7562698412698413,0,5.5649999999999995,8.56154537286613,0,21.314999999999998,1.4963640628665262,0,37.065,0.4355861324699853,0,52.815,0.0074789359083594275,0,68.565,-0.22394807846568945,1,100.065,-0.468245640333783,1,131.565,-0.5955611294797248,1,257.565,-0.7934113718867082,1,635.565,-0.9162792161305294,1
