CNOT,T,anf_terms,correct,depth,error,explicit_ancilla,gates,method,n,n_qubits,name,peak_ancilla,score,skipped,terms,time_s,truth_table_hex
5,0,5,True,5,,0,5,and_direct_anf,5,6,parity_n5,0,0.325,,5,2.8848648071289062e-05,96696996
5,0,5,True,5,,0,5,and_rc_nmcts,5,6,parity_n5,0,0.325,,5,0.00887298583984375,96696996
5,0,5,True,5,,0,5,and_affine_nmcts,5,6,parity_n5,0,0.325,,5,0.005419731140136719,96696996
5,0,5,True,5,,0,5,greedy_factor,5,6,parity_n5,0,0.325,,5,3.2901763916015625e-05,96696996
5,0,5,True,5,,0,5,mcts_factor,5,6,parity_n5,0,0.325,,5,5.7220458984375e-05,96696996
5,0,5,True,5,,0,5,and_mcts_factor,5,6,parity_n5,0,0.325,,5,5.888938903808594e-05,96696996
5,0,5,True,5,,0,5,fprm_greedy,5,6,parity_n5,0,0.325,,5,0.0008828639984130859,96696996
5,0,5,True,5,,0,5,fprm_mcts,5,6,parity_n5,0,0.325,,5,0.00121307373046875,96696996
5,0,5,True,5,,0,5,and_fprm_mcts,5,6,parity_n5,0,0.325,,5,0.0012099742889404297,96696996
5,0,5,True,5,,0,5,and_fprm_neural_mcts,5,6,parity_n5,0,0.325,,5,0.002819061279296875,96696996
224,512,5,True,304,,0,96,cube_greedy,5,6,parity_n5,2,530.48,,5,0.0012340545654296875,96696996
224,512,5,True,304,,0,96,cube_beam,5,6,parity_n5,2,530.48,,5,0.008344650268554688,96696996
5,0,5,True,5,,0,5,neural_mcts,5,6,parity_n5,0,0.325,,5,6.604194641113281e-05,96696996
108,96,5,True,132,,0,54,sshr_h,5,6,parity_n5,1,104.84,,5,0.016188383102416992,96696996
190,280,15,True,190,,0,15,direct_anf,5,6,majority_n5,1,292.6,,15,5.698204040527344e-05,FEE8E880
225,140,15,True,225,,0,85,and_direct_anf,5,6,majority_n5,2,157.225,,15,5.1021575927734375e-05,FEE8E880
49,24,5,True,58,,1,32,and_affine_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.2804408073425293,E880
49,24,7,True,51,,1,25,and_affine_nmcts,4,6,threshold2_n4,2,30.975,,7,0.2563440799713135,FEE8
178,152,15,True,178,,1,23,greedy_factor,5,7,majority_n5,2,166.01999999999998,,15,0.0009598731994628906,FEE8E880
178,152,15,True,178,,1,23,mcts_factor,5,7,majority_n5,2,166.01999999999998,,15,0.10150814056396484,FEE8E880
59,32,7,True,59,,1,25,and_fprm_neural_mcts,4,6,threshold2_n4,2,39.495,,7,0.23259377479553223,FEE8
170,144,15,True,174,,1,29,fprm_greedy,5,7,majority_n5,2,157.70000000000002,,21,0.027263402938842773,FEE8E880
49,24,5,True,58,,1,32,and_rc_nmcts,4,6,majority_n4,2,31.150000000000002,,8,0.48613405227661133,E880
49,24,7,True,51,,1,25,and_rc_nmcts,4,6,threshold2_n4,2,30.975,,7,0.46381163597106934,FEE8
174,84,15,True,174,,1,72,and_mcts_factor,5,7,majority_n5,2,98.28999999999999,,15,0.1577599048614502,FEE8E880
113,224,15,True,149,,0,45,cube_greedy,5,6,majority_n5,2,235.205,,15,0.0012972354888916016,FEE8E880
