name,n,profile,term_count,truth_build_time_s,method,score,T,CNOT,depth,gates,peak_ancilla,schedule_logical_depth,schedule_cnot_depth_proxy,schedule_t_depth_proxy,explicit_ancilla_live_peak,explicit_ancilla_lifetime_area,plan_time_s,truth_verify_time_s,truth_verified,anf_verified,plan_nodes,plan_mismatches,circuit_anf_verified,circuit_gates,circuit_max_wire_terms,circuit_mismatches
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,screen_depth1,1173.4199999999998,1064,1724,1724,660,4,126,1257,505,1,24,0.10206737500266172,0.04638037500262726,True,True,5,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,screen_depth2,1129.92,1024,1664,1664,640,4,126,1205,485,1,32,0.4926316249984666,0.045030957997369114,True,True,7,0,True,128,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,screen_depth3,1086.4850000000001,984,1605,1605,621,4,127,1167,465,1,39,1.9358414169983007,0.04483254099613987,True,True,9,0,True,129,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,screen_depth4,1077.915,976,1595,1595,619,4,129,1159,463,1,45,5.91612124999665,0.04299029199319193,True,True,11,0,True,131,136,0
truth_bridge_n23_002_mixed,23,mixed,136,213.1869161670038,screen_single,1269.3149999999998,1152,1859,1859,707,4,129,1343,549,1,13,0.015503250004258007,0.04889220800396288,True,True,3,0,True,131,136,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,adaptive_all_depth,2220.1150000000002,2016,3235,3235,1219,7,209,2219,978,1,46,15.511533625001903,0.08065795800212072,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,depth2_guard_direct,2274.535,2068,3311,3311,1243,6,207,2279,1001,1,32,0.8665975420008181,0.08050395800091792,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,depth_frontier_policy,2237.4500000000003,2032,3258,3258,1226,7,208,2241,984,1,39,3.4821238330041524,0.08054841699777171,True,True,9,0,True,210,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,depth_policy,2274.535,2068,3311,3311,1243,6,207,2279,1001,1,32,0.8665975420008181,0.08050395800091792,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,direct_logical_and,2466.455,2244,3583,3583,1339,6,217,2493,1083,0,0,2.366699482081458e-05,0.08724483299738495,True,True,1,0,True,217,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,screen_depth1,2318.0350000000003,2108,3371,3371,1263,6,208,2328,1020,1,24,0.19861949999904027,0.08165458399889758,True,True,5,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,screen_depth2,2274.535,2068,3311,3311,1243,6,207,2279,1001,1,32,0.8665975420008181,0.08050395800091792,True,True,7,0,True,209,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,screen_depth3,2237.4500000000003,2032,3258,3258,1226,7,208,2241,984,1,39,3.4821238330041524,0.08054841699777171,True,True,9,0,True,210,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,screen_depth4,2220.1150000000002,2016,3235,3235,1219,7,209,2219,978,1,46,10.938147499997285,0.08065795800212072,True,True,11,0,True,211,217,0
truth_bridge_n23_003_deep,23,deep,217,213.41297466700053,screen_single,2387.765,2172,3469,3469,1297,6,209,2407,1052,1,14,0.026045250000606757,0.08352737499808427,True,True,3,0,True,211,217,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,adaptive_all_depth,175.21,156,258,258,102,2,24,234,70,0,0,0.013201583999034483,0.007850791000237223,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,depth2_guard_direct,175.21,156,258,258,102,2,24,234,70,0,0,0.0027013750004698522,0.00759970899525797,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,depth_frontier_policy,175.21,156,258,258,102,2,24,234,70,0,0,0.0026301670004613698,0.008072333002928644,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,depth_policy,175.21,156,258,258,102,2,24,234,70,0,0,0.0027013750004698522,0.00759970899525797,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,direct_logical_and,175.21,156,258,258,102,2,24,234,70,0,0,6.583999493159354e-06,0.007896832998085301,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,screen_depth1,175.21,156,258,258,102,2,24,234,70,0,0,0.002577082996140234,0.007850791000237223,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,screen_depth2,175.21,156,258,258,102,2,24,234,70,0,0,0.0027013750004698522,0.00759970899525797,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,screen_depth3,175.21,156,258,258,102,2,24,234,70,0,0,0.0026301670004613698,0.008072333002928644,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,screen_depth4,175.21,156,258,258,102,2,24,234,70,0,0,0.0026710420061135665,0.007552584000222851,True,True,1,0,True,24,24,0
truth_bridge_n23_004_shallow,23,shallow,24,212.6443517919979,screen_single,175.21,156,258,258,102,2,24,234,70,0,0,0.0026219169958494604,0.008118874997308012,True,True,1,0,True,24,24,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,adaptive_all_depth,870.14,784,1292,1292,508,5,114,982,365,1,38,7.120904206996784,0.035365833005926106,True,True,11,0,True,116,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,depth2_guard_direct,891.63,804,1318,1318,514,5,110,1006,372,1,26,0.4134211249984219,0.036580084000888746,True,True,7,0,True,112,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,depth_frontier_policy,874.295,788,1295,1295,507,5,111,984,366,1,33,1.6216717080023955,0.03559733300062362,True,True,9,0,True,113,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,depth_policy,891.63,804,1318,1318,514,5,110,1006,372,1,26,0.4134211249984219,0.036580084000888746,True,True,7,0,True,112,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,direct_logical_and,1033.31,936,1518,1518,582,4,114,1156,434,0,0,7.667003956157714e-06,0.040860417000658344,True,True,1,0,True,114,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,screen_depth1,913.315,824,1347,1347,523,5,109,1036,381,1,19,0.08496195799671113,0.03676008299953537,True,True,5,0,True,111,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,screen_depth2,891.63,804,1318,1318,514,5,110,1006,372,1,26,0.4134211249984219,0.036580084000888746,True,True,7,0,True,112,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,screen_depth3,874.295,788,1295,1295,507,5,111,984,366,1,33,1.6216717080023955,0.03559733300062362,True,True,9,0,True,113,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,screen_depth4,870.14,784,1292,1292,508,5,114,982,365,1,38,4.986706374998903,0.035365833005926106,True,True,11,0,True,116,114,0
truth_bridge_n23_005_mixed,23,mixed,114,214.1279473750037,screen_single,961.23,868,1414,1414,546,5,111,1087,402,1,10,0.014143041000352241,0.03882358300324995,True,True,3,0,True,112,114,0
