budget,method,metric,pairs,learned_wins,learned_losses,ties,mean_learned,mean_no_prior,mean_relative,status
top24_s24_n32,and_affine_nmcts,T,177,22,0,155,45.87570621468927,46.4180790960452,-0.016160518702891584,pass
top24_s24_n32,and_affine_nmcts,CNOT,177,33,2,142,94.36158192090396,95.48022598870057,-0.016147358815561823,pass
top24_s24_n32,and_affine_nmcts,depth,177,33,5,139,98.91525423728814,100.12994350282486,-0.01636857186636427,pass
top24_s24_n32,and_affine_nmcts,peak_ancilla,177,1,0,176,1.88135593220339,1.887005649717514,-0.0018832391713747645,pass
top24_s24_n32,and_affine_nmcts,time_s,177,3,174,0,0.2862153147573525,0.1453685100469212,0.9121617332714514,pass
top24_s24_n32,and_resource_nmcts,score,177,39,0,138,53.215819209039545,53.69728813559322,-0.010980122825521667,pass
top24_s24_n32,and_resource_nmcts,T,177,17,0,160,43.909604519774014,44.31638418079096,-0.011625599761192982,pass
top24_s24_n32,and_resource_nmcts,CNOT,177,27,5,145,89.85310734463278,90.45762711864407,-0.009532849468239573,pass
top24_s24_n32,and_resource_nmcts,depth,177,31,4,142,94.50847457627118,95.32203389830508,-0.012134615990395298,pass
top24_s24_n32,and_resource_nmcts,peak_ancilla,177,3,0,174,1.92090395480226,1.9378531073446328,-0.005649717514124294,pass
top24_s24_n32,and_resource_nmcts,time_s,177,54,123,0,0.4096927508122503,0.34214664313752774,0.5511397546172127,pass
top24_s24_n32,and_pareto_resource_nmcts,score,177,29,0,148,49.556497175141246,49.859265536723164,-0.007753077205703922,pass
top24_s24_n32,and_pareto_resource_nmcts,T,177,9,0,168,40.429378531073446,40.655367231638415,-0.007652799178222907,pass
top24_s24_n32,and_pareto_resource_nmcts,CNOT,177,19,3,155,83.03954802259886,83.29378531073446,-0.004706181767057097,pass
top24_s24_n32,and_pareto_resource_nmcts,depth,177,21,5,151,88.0,88.48587570621469,-0.008143985392632634,pass
top24_s24_n32,and_pareto_resource_nmcts,peak_ancilla,177,5,0,172,2.0282485875706215,2.056497175141243,-0.009416195856873822,pass
top24_s24_n32,and_pareto_resource_nmcts,time_s,177,37,140,0,3.982927424759515,3.56186735832085,0.18768776280774802,pass
