name,n,portfolio,selected_method,selected_score,selected_T,selected_CNOT,revkit_lower_score,revkit_non_clifford_rz,model,epsilon,t_per_rz,extra_T,revkit_synth_T,revkit_synth_depth,revkit_synth_gates,revkit_synth_score,relative,win
majority_n4,4,resource_nmcts_family,and_fprm_polarity_archive,31.150000000000002,24.0,49.0,2.6999999999999997,31.0,ross_selinger_z,0.001,30,930.0,930.0,988.0,993.0,955.95,-0.967414613735028,1
majority_n4,4,resource_nmcts_family,and_fprm_polarity_archive,31.150000000000002,24.0,49.0,2.6999999999999997,31.0,ross_selinger_z,1e-06,60,1860.0,1860.0,1918.0,1923.0,1909.2,-0.9836842656610097,1
majority_n4,4,resource_nmcts_family,and_fprm_polarity_archive,31.150000000000002,24.0,49.0,2.6999999999999997,31.0,ross_selinger_z,1e-10,100,3100.0,3100.0,3158.0,3163.0,3180.2,-0.9902050185522923,1
majority_n4,4,resource_nmcts_family,and_fprm_polarity_archive,31.150000000000002,24.0,49.0,2.6999999999999997,31.0,selinger_su2,0.001,50,1550.0,1550.0,1608.0,1613.0,1591.45,-0.9804266549373213,1
majority_n4,4,resource_nmcts_family,and_fprm_polarity_archive,31.150000000000002,24.0,49.0,2.6999999999999997,31.0,selinger_su2,1e-06,90,2790.0,2790.0,2848.0,2853.0,2862.45,-0.98911771384653,1
majority_n4,4,resource_nmcts_family,and_fprm_polarity_archive,31.150000000000002,24.0,49.0,2.6999999999999997,31.0,selinger_su2,1e-10,143,4433.0,4433.0,4491.0,4496.0,4546.525,-0.9931486135015205,1
majority_n4,4,traditional_baseline_family,and_esop_milp,39.324999999999996,32.0,53.0,2.6999999999999997,31.0,ross_selinger_z,0.001,30,930.0,930.0,988.0,993.0,955.95,-0.9588629112401276,1
majority_n4,4,traditional_baseline_family,and_esop_milp,39.324999999999996,32.0,53.0,2.6999999999999997,31.0,ross_selinger_z,1e-06,60,1860.0,1860.0,1918.0,1923.0,1909.2,-0.9794023674837629,1
majority_n4,4,traditional_baseline_family,and_esop_milp,39.324999999999996,32.0,53.0,2.6999999999999997,31.0,ross_selinger_z,1e-10,100,3100.0,3100.0,3158.0,3163.0,3180.2,-0.9876344255078298,1
majority_n4,4,traditional_baseline_family,and_esop_milp,39.324999999999996,32.0,53.0,2.6999999999999997,31.0,selinger_su2,0.001,50,1550.0,1550.0,1608.0,1613.0,1591.45,-0.9752898300292187,1
majority_n4,4,traditional_baseline_family,and_esop_milp,39.324999999999996,32.0,53.0,2.6999999999999997,31.0,selinger_su2,1e-06,90,2790.0,2790.0,2848.0,2853.0,2862.45,-0.98626176876452,1
majority_n4,4,traditional_baseline_family,and_esop_milp,39.324999999999996,32.0,53.0,2.6999999999999997,31.0,selinger_su2,1e-10,143,4433.0,4433.0,4491.0,4496.0,4546.525,-0.9913505369485487,1
majority_n5,5,resource_nmcts_family,and_pareto_resource_nmcts,40.19,32.0,70.0,3.6500000000000004,32.0,ross_selinger_z,0.001,30,960.0,960.0,1030.0,1040.0,987.65,-0.9593074469700805,1
majority_n5,5,resource_nmcts_family,and_pareto_resource_nmcts,40.19,32.0,70.0,3.6500000000000004,32.0,ross_selinger_z,1e-06,60,1920.0,1920.0,1990.0,2000.0,1971.6499999999999,-0.9796160576167169,1
majority_n5,5,resource_nmcts_family,and_pareto_resource_nmcts,40.19,32.0,70.0,3.6500000000000004,32.0,ross_selinger_z,1e-10,100,3200.0,3200.0,3270.0,3280.0,3283.6500000000005,-0.9877605713154569,1
majority_n5,5,resource_nmcts_family,and_pareto_resource_nmcts,40.19,32.0,70.0,3.6500000000000004,32.0,selinger_su2,0.001,50,1600.0,1600.0,1670.0,1680.0,1643.6499999999999,-0.9755483223313965,1
majority_n5,5,resource_nmcts_family,and_pareto_resource_nmcts,40.19,32.0,70.0,3.6500000000000004,32.0,selinger_su2,1e-06,90,2880.0,2880.0,2950.0,2960.0,2955.65,-0.9864023142117639,1
