n,name,method,correct,score,T,CNOT,depth,gates,peak_ancilla,time_s,truth_table_hex
8,truth_n8_4,and_direct_anf,True,1682.67,1496,2370,2371,127,6,0.00030112266540527344,0xbeb799193f22faf823bed01d43cf2fde24933b83757750a9a491f0b2ea1fca65
8,truth_n8_4,and_resource_nmcts,True,781.3499999999999,680,1231,1240,153,5,9.614457130432129,0xbeb799193f22faf823bed01d43cf2fde24933b83757750a9a491f0b2ea1fca65
8,truth_n8_5,and_direct_anf,True,1877.15,1672,2648,2649,141,5,0.00029087066650390625,0x956269f0e5d7b8756dadd6c795a76d79bf3c4c06434308bc89fa6a688fb5d27b
8,truth_n8_5,and_resource_nmcts,True,790.86,688,1250,1262,163,5,17.262118101119995,0x956269f0e5d7b8756dadd6c795a76d79bf3c4c06434308bc89fa6a688fb5d27b
8,truth_n8_6,and_direct_anf,True,1807.07,1608,2539,2540,128,6,0.00029015541076660156,0x7e570ddf827050a82369b584ff5e9ff0ff50bde4382567b85cabcc97663f1c97
8,truth_n8_6,and_resource_nmcts,True,861.9,752,1348,1354,161,5,10.85637903213501,0x7e570ddf827050a82369b584ff5e9ff0ff50bde4382567b85cabcc97663f1c97
8,truth_n8_7,and_direct_anf,True,2012.8000000000002,1792,2834,2834,146,6,0.0002999305725097656,0x28f49481a0a04dc427209bdf1c11f735dc713d960c0fd195c17af08a1745d6d8
8,truth_n8_7,and_resource_nmcts,True,874.39,764,1354,1363,156,5,15.526488065719604,0x28f49481a0a04dc427209bdf1c11f735dc713d960c0fd195c17af08a1745d6d8
8,truth_n8_8,and_direct_anf,True,1718.2400000000002,1528,2419,2419,127,6,0.0002779960632324219,0x988c24c961b1cd2262801c4510435a1098ae43346c12ace8ae340454cac5b68c
8,truth_n8_8,and_resource_nmcts,True,849.41,740,1340,1349,167,5,18.73577904701233,0x988c24c961b1cd2262801c4510435a1098ae43346c12ace8ae340454cac5b68c
8,truth_n8_9,and_direct_anf,True,1753.7099999999998,1560,2466,2467,127,6,0.00028514862060546875,0xf143262fdc5c0eed8da0365bf89897b9405cacec877409a977d21e02ff01cf99
8,truth_n8_9,and_resource_nmcts,True,790.37,688,1245,1254,151,5,9.833213806152344,0xf143262fdc5c0eed8da0365bf89897b9405cacec877409a977d21e02ff01cf99
