CNOT,T,anf_terms,correct,depth,explicit_ancilla,gates,method,model,n,n_qubits,name,peak_ancilla,random_seed,score,skipped,terms,time_s,truth_table_hex,variant
28,12,7,True,30,0,18,and_affine_nmcts,random-prior:1001,4,5,truth_n4_15,1,1001,15.75,,4,0.01654982566833496,972A,random_prior
35,16,10,True,39,1,21,and_resource_nmcts,random-prior:1001,4,6,truth_n4_14,2,1001,22.195,,5,0.08376073837280273,1641,random_prior
28,12,7,True,30,0,18,and_resource_nmcts,random-prior:1001,4,5,truth_n4_15,1,1001,15.75,,4,0.03419184684753418,972A,random_prior
24,12,8,True,28,0,16,and_affine_nmcts,random-prior:1001,4,5,truth_n4_16,1,1001,15.540000000000001,,4,0.01761794090270996,6C03,random_prior
24,12,8,True,28,0,16,and_resource_nmcts,random-prior:1001,4,5,truth_n4_16,1,1001,15.540000000000001,,4,0.024178266525268555,6C03,random_prior
28,12,7,True,33,1,19,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_10,2,1001,17.805,,5,0.5359790325164795,AD3C,random_prior
35,16,11,True,40,1,22,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_12,1,1001,20.22,,6,0.34473299980163574,E465,random_prior
32,16,4,True,32,1,14,and_affine_nmcts,random-prior:1001,4,6,truth_n4_17,2,1001,21.900000000000002,,4,0.06745505332946777,822,random_prior
70,32,15,True,70,1,34,and_pareto_resource_nmcts,random-prior:1001,5,7,majority_n5,2,1001,40.19,,6,2.43648624420166,FEE8E880,random_prior
32,16,4,True,32,1,14,and_resource_nmcts,random-prior:1001,4,6,truth_n4_17,2,1001,21.900000000000002,,4,0.07658123970031738,822,random_prior
24,12,8,True,28,0,16,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_16,1,1001,15.540000000000001,,4,0.19193673133850098,6C03,random_prior
31,12,6,True,33,1,19,and_affine_nmcts,random-prior:1001,4,6,truth_n4_18,2,1001,17.924999999999997,,3,0.06343722343444824,7A0,random_prior
25,12,8,True,27,0,15,and_affine_nmcts,random-prior:1001,4,5,truth_n4_19,1,1001,15.555,,5,0.024300098419189453,17FC,random_prior
31,12,6,True,33,1,19,and_resource_nmcts,random-prior:1001,4,6,truth_n4_18,2,1001,17.924999999999997,,3,0.0755319595336914,7A0,random_prior
25,12,8,True,27,0,15,and_resource_nmcts,random-prior:1001,4,5,truth_n4_19,1,1001,15.555,,5,0.03236103057861328,17FC,random_prior
28,12,7,True,30,0,18,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_15,1,1001,15.75,,4,0.33349609375,972A,random_prior
31,16,6,True,33,0,17,and_affine_nmcts,random-prior:1001,4,5,truth_n4_20,1,1001,19.905,,5,0.02622222900390625,37F8,random_prior
28,16,6,True,32,0,16,and_resource_nmcts,random-prior:1001,4,5,truth_n4_20,1,1001,19.76,,6,0.03443408012390137,37F8,random_prior
34,16,6,True,37,1,19,and_affine_nmcts,random-prior:1001,4,6,truth_n4_21,1,1001,20.105,,5,0.029971837997436523,3B8F,random_prior
34,16,6,True,37,1,19,and_resource_nmcts,random-prior:1001,4,6,truth_n4_21,1,1001,20.105,,5,0.037075042724609375,3B8F,random_prior
35,16,10,True,39,1,21,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_14,2,1001,22.195,,5,0.5327980518341064,1641,random_prior
44,20,9,True,47,1,25,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_13,2,1001,26.715,,9,0.6183228492736816,8B9D,random_prior
25,12,8,True,27,0,15,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_19,1,1001,15.555,,5,0.24283504486083984,17FC,random_prior
33,12,9,True,36,1,22,and_affine_nmcts,random-prior:1001,4,6,truth_n4_22,2,1001,18.08,,6,0.061022043228149414,815E,random_prior
27,12,7,True,30,0,18,and_affine_nmcts,random-prior:1001,4,5,truth_n4_23,1,1001,15.709999999999999,,4,0.012033939361572266,9A1D,random_prior
33,12,9,True,36,1,22,and_resource_nmcts,random-prior:1001,4,6,truth_n4_22,2,1001,18.08,,6,0.07398390769958496,815E,random_prior
27,12,7,True,30,0,18,and_resource_nmcts,random-prior:1001,4,5,truth_n4_23,1,1001,15.709999999999999,,4,0.01739501953125,9A1D,random_prior
28,16,6,True,32,0,16,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_20,1,1001,19.76,,6,0.24747610092163086,37F8,random_prior
35,16,12,True,43,1,25,and_affine_nmcts,random-prior:1001,4,6,truth_n4_24,2,1001,22.294999999999998,,5,0.0766141414642334,6CB,random_prior
32,16,4,True,32,1,14,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_17,2,1001,21.900000000000002,,4,0.4903590679168701,822,random_prior
32,16,7,True,37,1,19,and_affine_nmcts,random-prior:1001,4,6,truth_n4_25,1,1001,20.025000000000002,,5,0.02813887596130371,8FAD,random_prior
35,16,12,True,43,1,25,and_resource_nmcts,random-prior:1001,4,6,truth_n4_24,2,1001,22.294999999999998,,5,0.09327101707458496,6CB,random_prior
27,12,7,True,30,0,18,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_23,1,1001,15.709999999999999,,4,0.1332991123199463,9A1D,random_prior
34,16,6,True,37,1,19,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_21,1,1001,20.105,,5,0.262113094329834,3B8F,random_prior
27,16,7,True,32,0,16,and_resource_nmcts,random-prior:1001,4,5,truth_n4_25,1,1001,19.72,,7,0.03523993492126465,8FAD,random_prior
31,12,6,True,33,1,19,and_pareto_resource_nmcts,random-prior:1001,4,6,truth_n4_18,2,1001,17.924999999999997,,3,0.48918890953063965,7A0,random_prior
24,12,9,True,31,0,19,and_affine_nmcts,random-prior:1001,4,5,truth_n4_27,1,1001,15.615,,5,0.013797283172607422,B74D,random_prior
40,16,8,True,46,1,28,and_affine_nmcts,random-prior:1001,4,6,truth_n4_26,2,1001,22.570000000000004,,6,0.06856489181518555,32E7,random_prior
24,12,9,True,31,0,19,and_resource_nmcts,random-prior:1001,4,5,truth_n4_27,1,1001,15.615,,5,0.019798994064331055,B74D,random_prior
40,16,8,True,46,1,28,and_resource_nmcts,random-prior:1001,4,6,truth_n4_26,2,1001,22.570000000000004,,6,0.08252787590026855,32E7,random_prior
33,16,9,True,37,1,19,and_affine_nmcts,random-prior:1001,4,6,truth_n4_28,2,1001,22.065,,5,0.07107806205749512,A65E,random_prior
33,16,9,True,37,1,19,and_resource_nmcts,random-prior:1001,4,6,truth_n4_28,2,1001,22.065,,5,0.083251953125,A65E,random_prior
35,16,7,True,35,1,17,and_affine_nmcts,random-prior:1001,4,6,truth_n4_29,1,1001,20.095,,5,0.024773836135864258,B38A,random_prior
24,12,9,True,31,0,19,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_27,1,1001,15.615,,5,0.15698981285095215,B74D,random_prior
35,16,7,True,35,1,17,and_resource_nmcts,random-prior:1001,4,6,truth_n4_29,1,1001,20.095,,5,0.03269195556640625,B38A,random_prior
24,12,9,True,28,0,16,and_affine_nmcts,random-prior:1001,4,5,truth_n4_30,1,1001,15.540000000000001,,4,0.012559890747070312,8B81,random_prior
27,16,7,True,32,0,16,and_pareto_resource_nmcts,random-prior:1001,4,5,truth_n4_25,1,1001,19.72,,7,0.250108003616333,8FAD,random_prior
24,12,9,True,28,0,16,and_resource_nmcts,random-prior:1001,4,5,truth_n4_30,1,1001,15.540000000000001,,4,0.018002986907958984,8B81,random_prior
34,16,10,True,41,1,23,and_affine_nmcts,random-prior:1001,4,6,truth_n4_31,2,1001,22.205,,5,0.0757911205291748,6B65,random_prior
